INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 46400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 1.5, actual clock drifts: [0.2967883674255747, 0.9852714749445917, 0.2897844989296319, 1.2372057183335912, -1.2279372352054783, -1.4328407257532767, -1.2010307044489303, 1.240202365574266, -0.3712930744008922, -1.4184710452515739]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921209, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [1, 3, 0, 0, 1, 3, 1, 0, 0, 0], "hlc": [921209, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [0, 0, 0, 0, 0, 0, 4, 4, 1, 0], "hlc": [921209, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [1, 0, 0, 0, 0, 4, 1, 6, 1, 0], "hlc": [921210, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [2, 0, 1, 0, 0, 0, 2, 1, 5, 4], "hlc": [921208, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [0, 0, 1, 0, 0, 0, 0, 1, 0, 5], "hlc": [921208, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [4, 0, 1, 0, 0, 0, 2, 1, 5, 4], "hlc": [921209, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [3, 0, 1, 0, 5, 0, 0, 2, 0, 3], "hlc": [921209, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [1, 3, 4, 2, 1, 6, 1, 0, 0, 0], "hlc": [921209, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [1, 3, 4, 2, 1, 7, 4, 4, 1, 0], "hlc": [921209, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [1, 3, 4, 2, 1, 8, 4, 6, 1, 0], "hlc": [921210, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [1, 3, 4, 2, 1, 9, 4, 6, 1, 5], "hlc": [921210, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [1, 4, 0, 0, 1, 3, 1, 0, 0, 0], "hlc": [921210, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [3, 0, 1, 0, 6, 0, 0, 2, 0, 3], "hlc": [921209, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [1, 0, 0, 0, 0, 4, 1, 7, 1, 0], "hlc": [921210, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [2, 0, 1, 0, 0, 0, 2, 1, 6, 4], "hlc": [921209, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [3, 5, 1, 0, 6, 3, 1, 2, 0, 3], "hlc": [921210, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [1, 4, 6, 2, 4, 3, 1, 2, 0, 3], "hlc": [921210, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [2, 3, 4, 2, 1, 10, 4, 6, 6, 5], "hlc": [921210, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [1, 0, 1, 0, 0, 4, 1, 7, 1, 6], "hlc": [921210, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [3, 6, 1, 0, 6, 3, 1, 2, 0, 3], "hlc": [921210, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [2, 3, 4, 2, 1, 11, 4, 6, 6, 5], "hlc": [921210, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [0, 0, 0, 0, 0, 0, 5, 4, 1, 0], "hlc": [921209, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [1, 0, 0, 0, 0, 4, 1, 8, 1, 0], "hlc": [921211, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [5, 0, 1, 0, 0, 4, 2, 8, 5, 4], "hlc": [921211, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [3, 7, 4, 2, 6, 11, 4, 6, 6, 5], "hlc": [921211, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [3, 6, 7, 2, 6, 3, 1, 2, 0, 3], "hlc": [921210, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [1, 0, 0, 0, 0, 4, 5, 9, 1, 0], "hlc": [921211, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [6, 0, 1, 0, 0, 4, 2, 8, 5, 4], "hlc": [921211, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [3, 8, 4, 2, 6, 11, 4, 6, 6, 5], "hlc": [921211, 1]}
