INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [-3.9512723402734222, -4.148937916848881, -0.9329400316327217, -4.297257875238561, 1.0199080657976616, -1.292235710970556, 2.033855390776285, -4.105479859037723, 0.6778040998091814, 7.056106039397859]
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [1, 1, 0, 1, 0, 3, 3, 0, 5, 0], "hlc": [921705, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [0, 4, 4, 0, 4, 1, 0, 1, 0, 4], "hlc": [921711, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921702, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [0, 6, 1, 0, 0, 0, 0, 0, 0, 1], "hlc": [921709, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [0, 0, 6, 0, 1, 0, 0, 1, 1, 0], "hlc": [921703, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [0, 0, 0, 3, 0, 2, 0, 0, 0, 0], "hlc": [921702, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [0, 4, 4, 0, 5, 0, 0, 1, 0, 1], "hlc": [921709, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [0, 5, 1, 0, 0, 7, 1, 3, 0, 3], "hlc": [921710, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [0, 1, 0, 0, 0, 0, 4, 0, 0, 0], "hlc": [921706, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [0, 4, 4, 0, 4, 1, 0, 1, 0, 5], "hlc": [921711, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [3, 1, 0, 0, 0, 0, 4, 0, 0, 0], "hlc": [921706, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [4, 4, 4, 0, 4, 1, 4, 1, 0, 5], "hlc": [921711, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [0, 7, 1, 0, 0, 7, 1, 3, 0, 3], "hlc": [921710, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [0, 6, 1, 4, 0, 2, 0, 0, 0, 1], "hlc": [921709, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [0, 0, 6, 0, 1, 0, 1, 4, 1, 0], "hlc": [921704, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [0, 4, 6, 0, 5, 0, 1, 5, 1, 1], "hlc": [921709, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [2, 1, 0, 1, 0, 3, 3, 0, 6, 0], "hlc": [921705, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [0, 4, 4, 3, 4, 2, 0, 1, 0, 6], "hlc": [921711, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [5, 4, 4, 0, 4, 1, 4, 1, 0, 5], "hlc": [921711, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [0, 8, 1, 0, 0, 7, 1, 3, 0, 3], "hlc": [921710, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [0, 0, 7, 0, 1, 0, 0, 1, 1, 0], "hlc": [921703, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [0, 4, 4, 0, 6, 0, 0, 1, 0, 1], "hlc": [921709, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [0, 1, 0, 0, 0, 0, 5, 0, 0, 0], "hlc": [921706, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [0, 4, 6, 0, 5, 0, 1, 6, 1, 1], "hlc": [921709, 8]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [2, 1, 0, 1, 0, 3, 3, 0, 7, 0], "hlc": [921705, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [0, 8, 8, 0, 1, 7, 1, 3, 1, 3], "hlc": [921710, 6]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [0, 8, 9, 0, 6, 7, 1, 3, 1, 3], "hlc": [921710, 7]}
