INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 32200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 5.5, actual clock drifts: [0.9495865963246022, -2.265382832782288, 0.08215585967782246, -5.023325871126307, -4.2679675466568945, -1.0999862458182195, -4.5699692985044305, -1.9345564857881312, 1.9143431439587832, -0.7136874922195231]
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [0, 1, 5, 1, 0, 0, 0, 0, 0, 3], "hlc": [921571, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [0, 1, 5, 1, 0, 0, 1, 0, 3, 4], "hlc": [921573, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [0, 0, 1, 7, 2, 1, 1, 1, 2, 1], "hlc": [921572, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [0, 0, 1, 0, 4, 0, 0, 0, 0, 2], "hlc": [921570, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [0, 0, 0, 0, 0, 0, 2, 0, 0, 0], "hlc": [921570, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [1, 1, 4, 1, 0, 3, 0, 6, 0, 0], "hlc": [921571, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [1, 0, 0, 0, 0, 4, 1, 0, 5, 0], "hlc": [921573, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [0, 1, 5, 1, 0, 0, 1, 0, 3, 5], "hlc": [921573, 2]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [3, 3, 0, 0, 0, 4, 1, 2, 5, 0], "hlc": [921573, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [0, 1, 5, 8, 2, 1, 1, 1, 3, 5], "hlc": [921573, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [1, 1, 4, 7, 2, 6, 1, 5, 2, 1], "hlc": [921572, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [1, 0, 1, 0, 4, 4, 1, 0, 6, 2], "hlc": [921574, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [1, 1, 4, 1, 4, 4, 1, 6, 7, 2], "hlc": [921574, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [0, 1, 5, 1, 0, 0, 2, 0, 3, 6], "hlc": [921573, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [0, 1, 6, 1, 0, 0, 0, 0, 0, 0], "hlc": [921572, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [0, 1, 5, 9, 2, 1, 1, 1, 3, 5], "hlc": [921573, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [0, 0, 1, 0, 5, 0, 0, 0, 0, 2], "hlc": [921570, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [1, 1, 4, 7, 2, 7, 1, 5, 2, 1], "hlc": [921572, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [1, 1, 4, 1, 0, 3, 0, 7, 0, 0], "hlc": [921571, 6]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [0, 1, 5, 1, 0, 0, 2, 0, 3, 7], "hlc": [921573, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [4, 3, 6, 1, 0, 4, 1, 2, 5, 0], "hlc": [921573, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [5, 3, 6, 1, 0, 4, 1, 7, 5, 0], "hlc": [921573, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [1, 4, 4, 7, 2, 7, 1, 5, 2, 1], "hlc": [921572, 8]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [0, 1, 7, 9, 2, 1, 1, 1, 3, 5], "hlc": [921573, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [1, 1, 4, 7, 5, 8, 1, 5, 2, 2], "hlc": [921572, 8]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [0, 1, 5, 1, 0, 0, 3, 0, 3, 7], "hlc": [921573, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [6, 3, 6, 1, 0, 4, 1, 7, 5, 0], "hlc": [921573, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [0, 1, 8, 9, 2, 1, 1, 1, 3, 5], "hlc": [921573, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [0, 1, 5, 10, 2, 1, 1, 1, 3, 5], "hlc": [921573, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [1, 1, 4, 7, 5, 9, 1, 5, 2, 2], "hlc": [921572, 9]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [0, 1, 5, 1, 0, 0, 4, 0, 3, 7], "hlc": [921573, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [1, 1, 4, 1, 0, 3, 0, 8, 0, 0], "hlc": [921571, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [1, 1, 4, 1, 4, 4, 1, 6, 8, 2], "hlc": [921574, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [0, 1, 5, 1, 0, 0, 2, 0, 3, 8], "hlc": [921573, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [7, 3, 6, 1, 0, 4, 4, 7, 5, 7], "hlc": [921574, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [8, 3, 6, 1, 4, 4, 4, 7, 8, 7], "hlc": [921574, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [0, 1, 9, 10, 2, 1, 1, 1, 3, 5], "hlc": [921573, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [0, 1, 8, 9, 6, 1, 1, 1, 3, 5], "hlc": [921573, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [1, 1, 4, 7, 5, 10, 1, 8, 2, 2], "hlc": [921572, 10]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [6, 3, 6, 1, 0, 4, 5, 7, 5, 7], "hlc": [921573, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [6, 3, 6, 7, 5, 9, 6, 7, 5, 7], "hlc": [921573, 8]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [1, 1, 5, 1, 0, 3, 2, 9, 3, 8], "hlc": [921573, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [1, 5, 4, 7, 2, 7, 1, 5, 2, 1], "hlc": [921572, 9]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [0, 1, 5, 11, 2, 1, 1, 1, 3, 5], "hlc": [921573, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [0, 1, 8, 9, 7, 1, 1, 1, 3, 5], "hlc": [921573, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [6, 3, 6, 7, 5, 9, 7, 7, 5, 7], "hlc": [921573, 9]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [1, 1, 5, 1, 0, 3, 2, 10, 3, 8], "hlc": [921573, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [9, 3, 6, 7, 5, 9, 7, 7, 8, 7], "hlc": [921574, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [1, 6, 8, 9, 7, 7, 1, 5, 3, 5], "hlc": [921573, 9]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [0, 1, 10, 11, 2, 1, 1, 1, 3, 5], "hlc": [921573, 8]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [1, 1, 11, 11, 2, 3, 2, 10, 3, 8], "hlc": [921573, 9]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [1, 5, 5, 12, 2, 7, 1, 5, 3, 5], "hlc": [921573, 7]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [1, 1, 12, 11, 2, 3, 2, 10, 3, 8], "hlc": [921573, 10]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [1, 5, 5, 13, 2, 7, 1, 5, 3, 5], "hlc": [921573, 8]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [0, 1, 8, 9, 8, 1, 1, 1, 3, 5], "hlc": [921573, 9]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [6, 3, 6, 7, 5, 9, 8, 7, 5, 7], "hlc": [921573, 10]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [1, 1, 4, 1, 4, 4, 1, 6, 9, 2], "hlc": [921575, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [0, 1, 5, 1, 0, 0, 2, 0, 3, 9], "hlc": [921573, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [10, 5, 6, 13, 5, 9, 7, 7, 8, 7], "hlc": [921575, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [1, 7, 8, 9, 7, 7, 1, 6, 9, 5], "hlc": [921575, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [1, 8, 8, 9, 7, 7, 2, 6, 9, 9], "hlc": [921575, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [6, 3, 8, 9, 9, 9, 8, 7, 5, 7], "hlc": [921573, 11]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [1, 1, 12, 11, 4, 4, 2, 10, 10, 8], "hlc": [921576, 0]}
