INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 41900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [-0.41611347666091447, 9.240202938529617, 6.789142363134719, -3.4488543067980437, -4.875205162554888, -2.215716365995857, -6.407023892982044, -8.280528279365639, 0.34407968079160867, 9.414028019743899]
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [4, 1, 7, 0, 6, 7, 1, 0, 1, 5], "hlc": [921739, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [0, 2, 0, 7, 2, 1, 5, 6, 2, 0], "hlc": [921738, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [8, 1, 4, 0, 7, 3, 1, 0, 1, 5], "hlc": [921739, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [8, 4, 4, 0, 8, 3, 1, 0, 1, 5], "hlc": [921739, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [0, 2, 0, 3, 2, 1, 6, 7, 2, 0], "hlc": [921738, 5]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [0, 1, 0, 6, 2, 4, 0, 4, 5, 0], "hlc": [921737, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [0, 6, 0, 0, 0, 4, 0, 0, 4, 0], "hlc": [921739, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [0, 2, 0, 8, 2, 1, 5, 6, 2, 0], "hlc": [921738, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [8, 4, 4, 0, 9, 3, 1, 0, 1, 5], "hlc": [921739, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [0, 2, 0, 0, 1, 1, 7, 2, 0, 0], "hlc": [921738, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [0, 2, 0, 3, 2, 1, 6, 8, 2, 0], "hlc": [921738, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [0, 1, 0, 6, 2, 4, 0, 4, 6, 0], "hlc": [921737, 7]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [5, 3, 1, 4, 2, 3, 1, 0, 2, 9], "hlc": [921740, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [9, 2, 4, 8, 4, 1, 5, 6, 2, 1], "hlc": [921738, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [10, 2, 4, 8, 4, 1, 6, 8, 2, 1], "hlc": [921738, 8]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [8, 7, 4, 0, 9, 4, 1, 0, 4, 5], "hlc": [921740, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [8, 4, 4, 0, 10, 3, 7, 2, 1, 5], "hlc": [921739, 6]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [0, 6, 0, 3, 2, 4, 6, 9, 4, 0], "hlc": [921739, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [0, 6, 0, 6, 2, 4, 6, 10, 6, 0], "hlc": [921739, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [5, 6, 1, 6, 2, 4, 6, 11, 6, 9], "hlc": [921740, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [8, 8, 4, 0, 9, 4, 1, 0, 4, 5], "hlc": [921740, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [0, 2, 0, 9, 2, 1, 5, 6, 2, 0], "hlc": [921738, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [8, 4, 4, 0, 11, 3, 7, 2, 1, 5], "hlc": [921739, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [0, 2, 0, 0, 1, 1, 8, 2, 0, 0], "hlc": [921738, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [0, 1, 0, 6, 2, 4, 0, 4, 7, 0], "hlc": [921737, 8]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [11, 4, 4, 8, 11, 3, 7, 8, 2, 5], "hlc": [921739, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [0, 2, 0, 10, 2, 4, 5, 6, 7, 0], "hlc": [921738, 8]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [8, 4, 4, 9, 12, 3, 7, 6, 2, 5], "hlc": [921739, 8]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [0, 2, 0, 6, 2, 4, 8, 4, 8, 0], "hlc": [921738, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [8, 8, 4, 4, 9, 4, 1, 0, 4, 10], "hlc": [921741, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [8, 9, 4, 0, 9, 4, 1, 0, 4, 5], "hlc": [921740, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [4, 1, 8, 0, 6, 7, 1, 0, 1, 5], "hlc": [921739, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [0, 2, 0, 11, 2, 4, 5, 6, 7, 0], "hlc": [921738, 9]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [5, 6, 1, 6, 2, 4, 6, 12, 6, 9], "hlc": [921740, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [0, 2, 0, 6, 2, 4, 8, 4, 9, 0], "hlc": [921738, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [12, 6, 4, 8, 11, 4, 7, 12, 6, 9], "hlc": [921740, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [8, 4, 4, 11, 13, 4, 7, 6, 7, 5], "hlc": [921739, 9]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [8, 9, 4, 0, 9, 8, 1, 0, 4, 5], "hlc": [921740, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [0, 2, 0, 6, 2, 4, 9, 4, 9, 0], "hlc": [921738, 8]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [5, 6, 8, 6, 6, 7, 6, 13, 6, 9], "hlc": [921740, 3]}
