INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43600, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [3.1756500833812833, 1.9981189640440622, 5.023723171009705, 1.2370294801019428, 2.8048445978807557, 1.2985883444248127, 1.5591785532180946, 0.2557504640536923, 5.172028960143978, -4.642300686874303]
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [3, 0, 0, 0, 1, 5, 0, 1, 0, 0], "hlc": [921691, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [0, 0, 1, 0, 4, 2, 1, 0, 0, 5], "hlc": [921693, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [6, 0, 0, 0, 6, 1, 1, 2, 1, 0], "hlc": [921693, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [1, 3, 0, 1, 0, 0, 0, 0, 0, 0], "hlc": [921691, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [0, 0, 3, 4, 0, 0, 2, 0, 0, 1], "hlc": [921694, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [0, 0, 0, 5, 0, 0, 2, 0, 0, 1], "hlc": [921690, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [0, 0, 0, 0, 10, 4, 1, 1, 2, 4], "hlc": [921693, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [0, 0, 0, 0, 0, 0, 0, 3, 0, 0], "hlc": [921689, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [7, 0, 3, 4, 6, 1, 2, 2, 1, 1], "hlc": [921694, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [1, 3, 0, 6, 0, 0, 2, 0, 0, 1], "hlc": [921691, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [0, 0, 0, 0, 10, 4, 3, 1, 2, 4], "hlc": [921693, 7]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [6, 0, 0, 0, 6, 1, 1, 4, 1, 0], "hlc": [921693, 6]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [6, 0, 0, 5, 6, 1, 2, 5, 1, 1], "hlc": [921693, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [0, 0, 1, 0, 4, 2, 1, 3, 0, 6], "hlc": [921693, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [1, 4, 0, 1, 0, 0, 0, 0, 0, 0], "hlc": [921691, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [0, 0, 0, 0, 11, 4, 1, 1, 2, 4], "hlc": [921693, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [0, 0, 0, 0, 10, 4, 4, 1, 2, 4], "hlc": [921693, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [6, 0, 0, 5, 6, 1, 2, 6, 1, 1], "hlc": [921693, 8]}
