INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 46300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [7.585987728563396, 1.6008081178491516, 6.979053081027349, -7.010896705543091, -1.2409630720320397, 4.269954115470581, 1.294701968697499, 3.6050461764102018, 7.776180883511692, 5.414677225620519]
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [2, 0, 0, 2, 0, 0, 0, 3, 0, 0], "hlc": [921723, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [0, 1, 0, 0, 0, 5, 2, 0, 2, 0], "hlc": [921724, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 1, "vc": [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921724, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [0, 0, 4, 0, 0, 0, 0, 0, 0, 0], "hlc": [921723, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [0, 0, 0, 3, 0, 0, 0, 0, 0, 0], "hlc": [921715, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [3, 0, 2, 0, 6, 1, 4, 0, 1, 2], "hlc": [921724, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [0, 1, 0, 0, 0, 6, 2, 0, 0, 0], "hlc": [921721, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [0, 6, 3, 1, 0, 3, 7, 1, 0, 0], "hlc": [921723, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [2, 0, 0, 2, 0, 0, 0, 4, 0, 0], "hlc": [921723, 4]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [0, 1, 0, 0, 0, 5, 2, 0, 3, 0], "hlc": [921724, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [1, 2, 0, 0, 0, 0, 0, 0, 0, 4], "hlc": [921723, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [5, 0, 2, 0, 6, 1, 4, 0, 1, 2], "hlc": [921725, 0]}
