INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 4.5, actual clock drifts: [1.5853754317394593, -1.3335141806563184, 2.7697655542192043, -1.0248469125339996, -0.3289080402695186, 2.6893198594934873, -2.973326545200625, 4.037019997055346, 1.7866022384000537, -3.4694807048440857]
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [1, 1, 2, 0, 4, 7, 0, 1, 0, 0], "hlc": [921554, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [0, 0, 4, 1, 0, 0, 0, 3, 0, 0], "hlc": [921556, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [0, 2, 0, 0, 0, 0, 0, 0, 2, 0], "hlc": [921553, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [5, 2, 0, 0, 0, 0, 0, 0, 2, 2], "hlc": [921554, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [2, 1, 4, 3, 7, 0, 0, 3, 0, 0], "hlc": [921556, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [1, 1, 4, 1, 4, 7, 0, 4, 0, 0], "hlc": [921556, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [6, 2, 0, 0, 0, 0, 0, 0, 2, 2], "hlc": [921554, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [0, 0, 5, 1, 0, 0, 0, 0, 0, 0], "hlc": [921555, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [1, 1, 2, 0, 4, 8, 0, 1, 0, 0], "hlc": [921555, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [3, 0, 1, 0, 1, 4, 5, 0, 0, 1], "hlc": [921553, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [1, 1, 4, 1, 4, 7, 0, 5, 0, 0], "hlc": [921556, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [0, 2, 0, 0, 0, 0, 0, 0, 3, 0], "hlc": [921554, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 3], "hlc": [921550, 3]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [0, 4, 5, 1, 5, 0, 0, 1, 0, 0], "hlc": [921555, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [1, 5, 5, 1, 5, 8, 0, 1, 0, 0], "hlc": [921555, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [3, 6, 5, 1, 5, 8, 5, 1, 0, 1], "hlc": [921555, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [6, 2, 2, 0, 4, 9, 0, 1, 2, 2], "hlc": [921555, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [6, 2, 4, 1, 4, 10, 0, 5, 2, 2], "hlc": [921556, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [6, 2, 4, 1, 4, 11, 0, 5, 3, 2], "hlc": [921556, 5]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [0, 2, 0, 0, 0, 0, 0, 0, 4, 3], "hlc": [921554, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [7, 2, 0, 0, 0, 0, 0, 0, 2, 2], "hlc": [921554, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [3, 7, 5, 1, 5, 8, 5, 1, 0, 1], "hlc": [921555, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [0, 0, 6, 1, 0, 0, 0, 0, 0, 0], "hlc": [921555, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [2, 0, 1, 5, 1, 4, 3, 0, 0, 1], "hlc": [921553, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [2, 1, 4, 3, 8, 0, 0, 3, 0, 0], "hlc": [921556, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [6, 2, 4, 1, 4, 12, 0, 5, 3, 2], "hlc": [921556, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [3, 0, 1, 0, 1, 4, 6, 0, 0, 1], "hlc": [921553, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [1, 1, 4, 1, 4, 7, 0, 6, 0, 0], "hlc": [921557, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [0, 2, 0, 0, 0, 0, 0, 0, 5, 3], "hlc": [921554, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 4], "hlc": [921550, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [3, 8, 6, 1, 5, 8, 5, 1, 0, 1], "hlc": [921555, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [6, 9, 6, 1, 5, 12, 5, 5, 3, 2], "hlc": [921556, 7]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [6, 10, 6, 1, 5, 12, 6, 5, 3, 2], "hlc": [921556, 8]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [2, 1, 7, 3, 8, 0, 0, 3, 0, 0], "hlc": [921556, 4]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [2, 2, 4, 3, 9, 0, 0, 3, 5, 3], "hlc": [921556, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [6, 2, 4, 1, 4, 13, 0, 5, 3, 4], "hlc": [921556, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [7, 2, 1, 0, 1, 4, 7, 0, 2, 2], "hlc": [921554, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [7, 7, 5, 1, 5, 8, 8, 1, 2, 2], "hlc": [921555, 5]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [1, 2, 4, 1, 4, 7, 0, 6, 6, 3], "hlc": [921557, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [2, 0, 1, 5, 1, 4, 3, 0, 0, 5], "hlc": [921553, 8]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [8, 2, 0, 0, 0, 0, 0, 0, 2, 2], "hlc": [921555, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [6, 11, 6, 1, 5, 12, 6, 5, 3, 2], "hlc": [921556, 9]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [2, 1, 8, 3, 8, 0, 0, 3, 0, 0], "hlc": [921556, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [2, 0, 1, 6, 1, 4, 3, 0, 0, 1], "hlc": [921553, 8]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [2, 2, 4, 3, 10, 0, 0, 3, 5, 3], "hlc": [921556, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [7, 7, 5, 1, 5, 8, 9, 1, 2, 2], "hlc": [921555, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [1, 1, 4, 1, 4, 7, 0, 7, 0, 0], "hlc": [921557, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [2, 0, 1, 5, 1, 4, 3, 0, 0, 6], "hlc": [921553, 9]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [6, 12, 6, 3, 10, 12, 6, 5, 5, 3], "hlc": [921556, 10]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [2, 1, 9, 5, 8, 4, 3, 3, 0, 6], "hlc": [921556, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [8, 2, 4, 3, 11, 0, 0, 3, 5, 3], "hlc": [921556, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [8, 2, 4, 6, 12, 4, 3, 3, 5, 3], "hlc": [921556, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [7, 7, 5, 1, 5, 14, 9, 5, 3, 4], "hlc": [921556, 8]}
