INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [2.691747569997812, 5.766260455693281, 1.8248642289621273, 5.910631307849949, 2.0275529149367966, -0.32321109747315546, 3.9098515593894163, 2.0810472525036445, 2.590956422298211, 1.5587843491192945]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [5, 0, 1, 0, 1, 0, 0, 0, 0, 0], "hlc": [921691, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [0, 4, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921695, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [0, 2, 8, 3, 0, 0, 0, 2, 1, 3], "hlc": [921694, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [0, 1, 3, 0, 5, 2, 0, 1, 0, 1], "hlc": [921693, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [2, 1, 1, 0, 0, 4, 0, 0, 0, 0], "hlc": [921693, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [0, 3, 0, 0, 0, 0, 3, 0, 0, 0], "hlc": [921694, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [0, 0, 0, 1, 0, 0, 1, 5, 0, 0], "hlc": [921694, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [0, 0, 5, 0, 0, 0, 0, 2, 3, 0], "hlc": [921691, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [4, 0, 1, 0, 1, 0, 0, 0, 1, 5], "hlc": [921691, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [6, 0, 1, 1, 1, 0, 1, 5, 0, 0], "hlc": [921694, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [2, 2, 9, 3, 0, 4, 0, 2, 1, 3], "hlc": [921694, 6]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [4, 2, 10, 3, 1, 4, 0, 2, 1, 5], "hlc": [921694, 7]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [0, 2, 5, 4, 0, 0, 0, 2, 3, 0], "hlc": [921695, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [5, 1, 3, 0, 6, 2, 0, 1, 0, 1], "hlc": [921693, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [5, 4, 3, 0, 7, 2, 0, 1, 0, 1], "hlc": [921695, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [5, 4, 3, 0, 8, 2, 3, 1, 0, 1], "hlc": [921695, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [2, 2, 8, 3, 0, 5, 0, 2, 1, 3], "hlc": [921694, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [4, 1, 3, 0, 5, 2, 0, 1, 1, 6], "hlc": [921693, 6]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [7, 0, 1, 1, 1, 0, 1, 5, 0, 0], "hlc": [921694, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [0, 5, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921695, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [5, 4, 3, 0, 9, 2, 3, 1, 0, 1], "hlc": [921695, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [2, 2, 8, 3, 0, 6, 0, 2, 1, 3], "hlc": [921694, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [0, 3, 0, 0, 0, 0, 4, 0, 0, 0], "hlc": [921694, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [4, 1, 3, 0, 5, 2, 0, 1, 1, 7], "hlc": [921693, 7]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [4, 6, 3, 0, 5, 2, 0, 1, 1, 7], "hlc": [921696, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [4, 5, 11, 3, 1, 4, 0, 2, 1, 5], "hlc": [921695, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [7, 0, 1, 1, 1, 0, 1, 6, 0, 0], "hlc": [921694, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [0, 3, 5, 0, 0, 0, 4, 2, 4, 0], "hlc": [921694, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [5, 4, 3, 0, 9, 2, 3, 1, 1, 8], "hlc": [921695, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [5, 4, 8, 3, 9, 6, 3, 2, 1, 9], "hlc": [921695, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [4, 5, 12, 3, 1, 4, 0, 2, 1, 5], "hlc": [921695, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [0, 2, 5, 5, 0, 0, 0, 2, 3, 0], "hlc": [921696, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [5, 4, 3, 0, 10, 2, 3, 1, 0, 1], "hlc": [921695, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [7, 0, 1, 1, 1, 0, 1, 7, 0, 0], "hlc": [921694, 7]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [5, 4, 8, 3, 9, 6, 3, 2, 1, 10], "hlc": [921695, 6]}
