INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 49200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 2.5, actual clock drifts: [-1.648203973860975, -0.8455879061870042, -1.1523903140039056, 0.5774083441677309, -2.4247753605919593, 1.4345167296798795, 0.8359340082566358, 1.7717441120057087, -1.821887158946352, -1.6271476050242373]
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [1, 0, 0, 0, 0, 2, 5, 0, 0, 1], "hlc": [921526, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [1, 0, 0, 0, 0, 3, 0, 4, 0, 0], "hlc": [921526, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 3, 0], "hlc": [921524, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [0, 0, 0, 0, 0, 0, 0, 1, 0, 5], "hlc": [921525, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [3, 0, 0, 0, 0, 2, 5, 0, 0, 1], "hlc": [921526, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [4, 0, 0, 0, 0, 3, 5, 4, 0, 1], "hlc": [921526, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [1, 5, 7, 1, 2, 2, 4, 1, 2, 4], "hlc": [921525, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [2, 1, 0, 0, 4, 0, 0, 0, 0, 0], "hlc": [921523, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [1, 4, 6, 1, 2, 4, 4, 1, 2, 4], "hlc": [921527, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [1, 4, 6, 1, 2, 5, 4, 1, 3, 4], "hlc": [921527, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [1, 4, 6, 1, 2, 6, 4, 1, 3, 5], "hlc": [921527, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [1, 1, 0, 0, 3, 3, 0, 5, 0, 0], "hlc": [921527, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [5, 0, 0, 0, 0, 3, 5, 4, 0, 1], "hlc": [921526, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [1, 5, 8, 1, 2, 2, 4, 1, 2, 4], "hlc": [921525, 8]}
