INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [1.3959306515853207, -3.1334209064736394, -2.056964193643015, -7.460444967501718, -0.6339459155877094, 4.846404761654547, 0.3241498994679839, 5.565218479943878, 1.7825041362752305, 4.448884580952111]
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [0, 4, 0, 0, 0, 0, 5, 0, 0, 0], "hlc": [921705, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [0, 1, 7, 3, 4, 1, 2, 1, 8, 8], "hlc": [921709, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [6, 0, 5, 1, 0, 1, 4, 2, 3, 6], "hlc": [921708, 9]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [3, 3, 12, 5, 6, 5, 2, 5, 1, 4], "hlc": [921709, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [0, 3, 1, 0, 7, 0, 2, 0, 0, 0], "hlc": [921704, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [0, 4, 0, 0, 0, 0, 6, 0, 0, 0], "hlc": [921705, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [0, 0, 5, 1, 0, 1, 1, 1, 4, 9], "hlc": [921709, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [0, 6, 7, 3, 4, 1, 6, 1, 7, 0], "hlc": [921708, 10]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [3, 3, 12, 9, 6, 5, 3, 6, 1, 4], "hlc": [921710, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [6, 2, 5, 7, 2, 7, 4, 5, 3, 6], "hlc": [921710, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [0, 4, 5, 1, 0, 1, 7, 1, 4, 9], "hlc": [921709, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [0, 3, 5, 1, 7, 1, 2, 1, 4, 10], "hlc": [921710, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [7, 0, 5, 1, 0, 1, 4, 2, 3, 6], "hlc": [921708, 10]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [0, 4, 5, 1, 0, 1, 8, 1, 4, 9], "hlc": [921709, 4]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [0, 1, 7, 3, 4, 1, 2, 1, 9, 8], "hlc": [921709, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [0, 3, 5, 1, 7, 1, 2, 1, 4, 11], "hlc": [921710, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [3, 3, 12, 10, 6, 5, 3, 6, 9, 8], "hlc": [921710, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [0, 4, 5, 1, 8, 1, 8, 1, 4, 9], "hlc": [921709, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [7, 2, 5, 7, 2, 8, 4, 5, 3, 6], "hlc": [921711, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [0, 3, 7, 3, 7, 1, 2, 1, 10, 11], "hlc": [921710, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [0, 4, 5, 1, 9, 1, 8, 1, 4, 9], "hlc": [921709, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [7, 2, 5, 7, 2, 9, 4, 5, 3, 6], "hlc": [921711, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [0, 2, 0, 1, 0, 0, 0, 7, 0, 3], "hlc": [921711, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [0, 3, 5, 1, 7, 1, 2, 1, 4, 12], "hlc": [921710, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [7, 3, 12, 11, 6, 9, 4, 6, 9, 8], "hlc": [921711, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [7, 3, 12, 12, 7, 9, 4, 6, 9, 12], "hlc": [921711, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [0, 4, 5, 1, 10, 1, 8, 7, 4, 9], "hlc": [921711, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [7, 4, 5, 7, 9, 10, 8, 5, 4, 9], "hlc": [921711, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [0, 7, 7, 3, 4, 1, 6, 1, 7, 0], "hlc": [921708, 11]}
