INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 49100, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 2.5, actual clock drifts: [-0.6979859381167541, 0.07343014331900832, 1.7743376290544859, -2.1576582381870546, 1.6639435866490029, 0.4983786059188091, 1.6505752642690705, 0.5750184946118004, -1.7088335991025794, -2.1444228598632984]
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [0, 1, 5, 4, 0, 0, 0, 10, 0, 0], "hlc": [921528, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [9, 1, 3, 2, 5, 5, 0, 5, 8, 1], "hlc": [921527, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [12, 1, 4, 3, 5, 11, 0, 6, 7, 5], "hlc": [921528, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [9, 1, 4, 4, 5, 10, 5, 8, 7, 1], "hlc": [921529, 0]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [8, 1, 5, 8, 0, 2, 4, 11, 3, 4], "hlc": [921528, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [9, 1, 5, 8, 5, 5, 4, 12, 8, 4], "hlc": [921528, 5]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [9, 1, 5, 4, 5, 5, 0, 10, 9, 1], "hlc": [921528, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [8, 1, 2, 9, 0, 2, 4, 8, 3, 4], "hlc": [921528, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [9, 1, 4, 4, 5, 10, 6, 8, 7, 1], "hlc": [921529, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [0, 1, 2, 6, 0, 0, 0, 6, 0, 7], "hlc": [921526, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [8, 1, 3, 9, 7, 5, 4, 8, 3, 4], "hlc": [921529, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [9, 1, 4, 6, 5, 10, 7, 8, 7, 7], "hlc": [921529, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [9, 1, 4, 6, 5, 10, 6, 8, 7, 8], "hlc": [921529, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [13, 1, 2, 3, 0, 2, 0, 6, 3, 5], "hlc": [921527, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [10, 5, 3, 2, 6, 6, 0, 5, 3, 1], "hlc": [921528, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [8, 1, 2, 10, 0, 2, 4, 8, 3, 4], "hlc": [921528, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [12, 1, 4, 3, 5, 12, 0, 6, 7, 5], "hlc": [921528, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [9, 1, 4, 6, 5, 10, 8, 8, 7, 7], "hlc": [921529, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [9, 1, 4, 6, 5, 10, 6, 8, 7, 9], "hlc": [921529, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [10, 5, 6, 2, 6, 6, 0, 5, 3, 1], "hlc": [921530, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [12, 5, 7, 3, 6, 12, 0, 6, 7, 5], "hlc": [921530, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [13, 1, 3, 9, 8, 5, 4, 8, 3, 5], "hlc": [921530, 0]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [9, 1, 5, 10, 5, 5, 4, 13, 8, 4], "hlc": [921529, 0]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [9, 1, 5, 10, 5, 10, 8, 14, 8, 7], "hlc": [921529, 4]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [9, 1, 5, 6, 5, 10, 6, 10, 10, 9], "hlc": [921529, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 1, "vc": [14, 1, 2, 3, 0, 2, 0, 6, 3, 5], "hlc": [921528, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [12, 5, 8, 3, 6, 12, 0, 6, 7, 5], "hlc": [921530, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [13, 1, 3, 9, 9, 5, 4, 8, 3, 5], "hlc": [921530, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [12, 1, 4, 3, 5, 13, 0, 6, 7, 5], "hlc": [921529, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [9, 1, 4, 6, 5, 10, 9, 8, 7, 7], "hlc": [921530, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [9, 1, 5, 10, 5, 10, 8, 15, 8, 7], "hlc": [921529, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [9, 1, 5, 6, 5, 10, 6, 10, 11, 9], "hlc": [921529, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [9, 1, 4, 6, 5, 10, 6, 8, 7, 10], "hlc": [921529, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [15, 1, 4, 6, 5, 10, 9, 8, 7, 7], "hlc": [921530, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 0, "vc": [14, 6, 3, 3, 6, 6, 0, 6, 3, 5], "hlc": [921529, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [14, 7, 3, 9, 9, 6, 4, 8, 3, 5], "hlc": [921530, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [9, 1, 5, 11, 5, 10, 8, 15, 8, 7], "hlc": [921529, 6]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [9, 1, 5, 12, 5, 10, 8, 15, 8, 10], "hlc": [921529, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [12, 5, 8, 6, 6, 12, 10, 8, 7, 7], "hlc": [921530, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [12, 1, 5, 6, 5, 13, 6, 10, 12, 9], "hlc": [921529, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [9, 1, 5, 6, 5, 10, 6, 10, 11, 11], "hlc": [921529, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [14, 8, 3, 9, 9, 6, 4, 8, 3, 5], "hlc": [921530, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [12, 5, 9, 3, 6, 12, 0, 6, 7, 5], "hlc": [921531, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [13, 1, 3, 9, 10, 5, 4, 8, 3, 5], "hlc": [921530, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [12, 5, 8, 6, 6, 12, 11, 8, 7, 7], "hlc": [921530, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [9, 1, 5, 10, 5, 10, 8, 16, 8, 7], "hlc": [921529, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [12, 1, 5, 6, 5, 13, 6, 10, 13, 9], "hlc": [921529, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [13, 1, 5, 10, 11, 10, 8, 16, 8, 7], "hlc": [921531, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [14, 8, 4, 9, 9, 14, 4, 8, 7, 5], "hlc": [921530, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [14, 8, 5, 9, 9, 15, 6, 10, 13, 9], "hlc": [921530, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [12, 5, 9, 6, 6, 12, 12, 8, 7, 7], "hlc": [921531, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [13, 5, 9, 9, 10, 12, 13, 8, 7, 7], "hlc": [921531, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [12, 5, 8, 6, 6, 12, 11, 10, 11, 12], "hlc": [921530, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [12, 5, 10, 3, 6, 12, 0, 6, 7, 5], "hlc": [921531, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [9, 1, 5, 13, 5, 10, 8, 15, 8, 10], "hlc": [921529, 8]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [13, 1, 5, 10, 12, 10, 8, 16, 8, 7], "hlc": [921531, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [14, 8, 5, 9, 9, 16, 6, 10, 13, 9], "hlc": [921530, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [13, 5, 9, 9, 10, 12, 14, 8, 7, 7], "hlc": [921531, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [9, 1, 5, 10, 5, 10, 8, 17, 8, 7], "hlc": [921530, 0]}
