INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 38300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [-1.9694629802370311, 0.9636963798644205, -0.20663985464226187, 2.5281132659094503, 2.4620220661800367, -1.9201098723014, -1.588509226980463, 1.5110462152742876, -2.512903476144471, -1.6050945510807224]
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [0, 1, 1, 8, 6, 0, 4, 4, 5, 0], "hlc": [921542, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [9, 7, 4, 4, 5, 4, 1, 3, 2, 0], "hlc": [921540, 9]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [0, 0, 1, 1, 6, 0, 5, 0, 6, 0], "hlc": [921539, 8]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [0, 0, 1, 7, 6, 0, 4, 0, 7, 0], "hlc": [921541, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [0, 8, 0, 0, 1, 0, 0, 3, 2, 0], "hlc": [921540, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [0, 1, 6, 0, 0, 1, 3, 2, 1, 0], "hlc": [921539, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [0, 1, 1, 9, 6, 0, 4, 4, 5, 0], "hlc": [921542, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [9, 7, 4, 4, 5, 5, 1, 3, 2, 0], "hlc": [921540, 10]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 3, 3], "hlc": [921537, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [0, 9, 6, 0, 1, 1, 3, 3, 2, 0], "hlc": [921541, 0]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [0, 1, 1, 9, 6, 0, 4, 5, 5, 0], "hlc": [921542, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [9, 7, 4, 9, 6, 5, 4, 6, 5, 0], "hlc": [921542, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [0, 8, 1, 7, 6, 0, 4, 3, 8, 0], "hlc": [921541, 4]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [0, 8, 1, 7, 6, 0, 4, 3, 9, 3], "hlc": [921541, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [0, 1, 1, 10, 6, 0, 4, 4, 5, 0], "hlc": [921542, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [0, 0, 1, 1, 8, 0, 1, 0, 0, 1], "hlc": [921542, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [9, 7, 4, 4, 5, 6, 1, 3, 2, 0], "hlc": [921540, 11]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [0, 0, 1, 1, 6, 0, 6, 0, 6, 0], "hlc": [921539, 9]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [0, 8, 1, 7, 6, 0, 4, 3, 10, 3], "hlc": [921541, 6]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [0, 1, 1, 11, 8, 0, 4, 4, 5, 1], "hlc": [921543, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [9, 7, 4, 10, 6, 7, 4, 4, 5, 0], "hlc": [921542, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [9, 8, 4, 10, 6, 8, 4, 4, 10, 3], "hlc": [921542, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [9, 7, 4, 4, 6, 6, 7, 3, 6, 0], "hlc": [921540, 12]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [9, 7, 4, 9, 6, 5, 6, 7, 6, 0], "hlc": [921542, 4]}
