INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 38200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [1.912099953686619, 0.9986432319593135, -2.6198438239782686, -3.2048551470878146, -2.446097318752111, 0.13529960420368603, -2.341315832318916, -2.6302020779983644, -0.30803593154872866, 1.524726184511696]
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [3, 0, 0, 1, 5, 1, 0, 1, 0, 0], "hlc": [921539, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [0, 0, 4, 0, 3, 0, 3, 1, 1, 0], "hlc": [921536, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [0, 1, 2, 0, 0, 4, 0, 4, 1, 3], "hlc": [921539, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 5, 2], "hlc": [921538, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 4], "hlc": [921539, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [0, 5, 7, 2, 1, 0, 0, 0, 4, 2], "hlc": [921539, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [0, 6, 7, 2, 3, 0, 3, 1, 4, 2], "hlc": [921539, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [3, 1, 2, 1, 5, 5, 0, 1, 1, 0], "hlc": [921539, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [0, 4, 2, 2, 0, 4, 0, 5, 1, 3], "hlc": [921539, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [0, 4, 2, 2, 0, 4, 0, 6, 1, 4], "hlc": [921539, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [0, 1, 2, 0, 0, 4, 0, 4, 1, 5], "hlc": [921540, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [0, 1, 2, 0, 0, 4, 0, 4, 5, 6], "hlc": [921540, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [0, 7, 7, 2, 3, 0, 3, 1, 4, 2], "hlc": [921539, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [0, 2, 8, 0, 1, 0, 0, 0, 4, 2], "hlc": [921538, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [3, 1, 2, 1, 5, 6, 0, 1, 1, 0], "hlc": [921539, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [0, 0, 4, 0, 3, 0, 4, 1, 1, 0], "hlc": [921536, 9]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [0, 4, 2, 2, 0, 4, 0, 7, 1, 4], "hlc": [921539, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 6, 2], "hlc": [921538, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [4, 0, 4, 1, 3, 1, 4, 1, 1, 0], "hlc": [921540, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [0, 8, 7, 2, 3, 4, 3, 7, 4, 4], "hlc": [921540, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [3, 0, 0, 1, 6, 1, 0, 1, 6, 2], "hlc": [921539, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [3, 1, 4, 1, 5, 6, 5, 1, 1, 0], "hlc": [921539, 7]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [0, 7, 7, 2, 3, 4, 3, 8, 4, 4], "hlc": [921539, 6]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [0, 7, 8, 2, 3, 4, 3, 9, 4, 4], "hlc": [921539, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [5, 0, 4, 1, 3, 1, 4, 1, 1, 0], "hlc": [921540, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [0, 9, 7, 2, 3, 4, 3, 7, 4, 4], "hlc": [921540, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [0, 2, 9, 0, 1, 0, 0, 0, 4, 2], "hlc": [921538, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [3, 0, 0, 1, 7, 1, 0, 1, 6, 2], "hlc": [921539, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [3, 1, 4, 1, 5, 6, 6, 1, 1, 0], "hlc": [921539, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [0, 1, 2, 0, 0, 4, 0, 4, 5, 7], "hlc": [921540, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [0, 9, 10, 2, 3, 4, 3, 7, 4, 4], "hlc": [921540, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [5, 0, 4, 3, 3, 1, 4, 1, 1, 0], "hlc": [921540, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [5, 1, 4, 4, 5, 6, 6, 1, 1, 0], "hlc": [921540, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [3, 1, 2, 1, 8, 4, 0, 4, 6, 7], "hlc": [921540, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [3, 2, 9, 1, 5, 7, 0, 1, 4, 2], "hlc": [921539, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [3, 1, 2, 1, 7, 4, 0, 4, 6, 8], "hlc": [921541, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [0, 10, 7, 2, 3, 4, 3, 7, 4, 4], "hlc": [921540, 2]}
