INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 45300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [6.760482230689249, -4.441189340036358, -3.122817814409686, -7.743797605351407, 3.0601919890370954, -3.116048654213432, 1.3556173456924725, 7.127247790925583, -2.8842029157658082, 2.856063253462537]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 1, "vc": [4, 0, 0, 0, 0, 0, 1, 0, 0, 0], "hlc": [921723, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [2, 5, 7, 1, 2, 0, 0, 2, 0, 3], "hlc": [921723, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [0, 3, 0, 3, 0, 0, 0, 1, 0, 0], "hlc": [921722, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [1, 0, 0, 0, 4, 0, 0, 0, 2, 0], "hlc": [921722, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [0, 1, 3, 0, 1, 5, 0, 0, 0, 0], "hlc": [921718, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [0, 0, 0, 0, 0, 0, 2, 0, 0, 0], "hlc": [921718, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [0, 0, 0, 0, 0, 0, 0, 4, 0, 0], "hlc": [921724, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [1, 1, 3, 0, 1, 4, 0, 3, 6, 0], "hlc": [921723, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [0, 0, 0, 1, 2, 0, 0, 0, 0, 4], "hlc": [921719, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [5, 3, 0, 3, 0, 0, 1, 1, 0, 0], "hlc": [921724, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [6, 3, 0, 3, 2, 0, 1, 1, 0, 4], "hlc": [921724, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 0, "vc": [4, 7, 0, 0, 0, 0, 1, 1, 3, 0], "hlc": [921723, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [4, 8, 0, 0, 0, 0, 2, 1, 3, 0], "hlc": [921723, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [2, 5, 8, 1, 2, 0, 0, 4, 0, 3], "hlc": [921724, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [1, 3, 0, 4, 4, 0, 0, 1, 2, 0], "hlc": [921722, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [1, 1, 3, 0, 5, 5, 0, 0, 2, 0], "hlc": [921722, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [1, 1, 3, 0, 1, 4, 0, 5, 6, 0], "hlc": [921724, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [2, 5, 7, 1, 2, 4, 0, 3, 7, 3], "hlc": [921723, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [7, 3, 0, 3, 2, 0, 1, 1, 0, 4], "hlc": [921724, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [4, 9, 0, 0, 0, 0, 2, 1, 3, 0], "hlc": [921723, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [1, 3, 0, 5, 4, 0, 0, 1, 2, 0], "hlc": [921722, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [0, 1, 3, 0, 1, 6, 0, 0, 0, 0], "hlc": [921718, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [2, 5, 7, 1, 2, 4, 0, 3, 8, 3], "hlc": [921723, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [8, 9, 0, 3, 2, 0, 2, 1, 3, 4], "hlc": [921724, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [9, 9, 7, 3, 2, 4, 2, 3, 8, 4], "hlc": [921724, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [2, 5, 9, 5, 4, 0, 0, 4, 2, 3], "hlc": [921724, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [1, 3, 3, 6, 4, 6, 0, 1, 2, 0], "hlc": [921722, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [7, 3, 3, 3, 6, 5, 1, 1, 2, 4], "hlc": [921724, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [1, 3, 3, 7, 4, 6, 0, 1, 2, 0], "hlc": [921722, 8]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [7, 3, 3, 3, 7, 5, 1, 1, 2, 4], "hlc": [921724, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [0, 1, 3, 0, 1, 7, 0, 0, 0, 0], "hlc": [921718, 6]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [0, 0, 0, 1, 2, 0, 0, 0, 0, 5], "hlc": [921720, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [10, 9, 7, 3, 2, 7, 2, 3, 8, 4], "hlc": [921725, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [1, 3, 3, 8, 4, 6, 0, 1, 2, 5], "hlc": [921722, 9]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [7, 3, 3, 3, 7, 5, 3, 1, 2, 4], "hlc": [921724, 5]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [2, 5, 7, 7, 4, 6, 0, 3, 9, 3], "hlc": [921723, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [11, 9, 7, 3, 2, 7, 2, 3, 8, 4], "hlc": [921725, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [7, 3, 3, 3, 8, 5, 1, 1, 2, 4], "hlc": [921724, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [0, 1, 3, 0, 1, 8, 0, 0, 0, 0], "hlc": [921718, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [2, 5, 7, 7, 4, 6, 0, 3, 10, 3], "hlc": [921723, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [0, 0, 0, 1, 2, 0, 0, 0, 0, 6], "hlc": [921721, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [2, 5, 10, 5, 4, 8, 0, 4, 2, 3], "hlc": [921724, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [11, 9, 7, 3, 9, 7, 2, 3, 8, 4], "hlc": [921725, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [7, 3, 3, 3, 8, 9, 1, 1, 2, 4], "hlc": [921724, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [7, 5, 7, 7, 8, 10, 1, 3, 10, 4], "hlc": [921724, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [2, 5, 7, 7, 4, 6, 0, 3, 11, 6], "hlc": [921723, 9]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [12, 9, 7, 3, 2, 7, 2, 3, 8, 4], "hlc": [921725, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [1, 3, 3, 9, 4, 6, 0, 1, 2, 5], "hlc": [921722, 10]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [7, 5, 7, 7, 8, 11, 1, 3, 10, 4], "hlc": [921724, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [7, 3, 3, 3, 7, 5, 4, 1, 2, 4], "hlc": [921724, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [1, 1, 3, 0, 1, 4, 0, 6, 6, 0], "hlc": [921726, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [4, 10, 3, 9, 4, 6, 2, 1, 3, 5], "hlc": [921723, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [4, 11, 3, 9, 4, 6, 2, 6, 6, 5], "hlc": [921726, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [12, 9, 7, 10, 4, 7, 2, 3, 8, 5], "hlc": [921725, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [7, 5, 7, 7, 8, 12, 4, 3, 10, 4], "hlc": [921724, 9]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [7, 5, 7, 7, 8, 11, 1, 3, 10, 7], "hlc": [921724, 9]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 1, "vc": [13, 9, 7, 3, 2, 7, 2, 3, 8, 4], "hlc": [921726, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [4, 12, 3, 9, 4, 6, 2, 6, 6, 5], "hlc": [921726, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [12, 9, 7, 11, 4, 7, 2, 3, 8, 5], "hlc": [921725, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [11, 9, 7, 3, 10, 7, 2, 3, 8, 4], "hlc": [921725, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [7, 5, 7, 7, 8, 13, 4, 3, 10, 4], "hlc": [921724, 10]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [7, 3, 3, 3, 7, 5, 5, 1, 2, 4], "hlc": [921724, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [1, 1, 3, 0, 1, 4, 0, 7, 6, 0], "hlc": [921726, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [2, 5, 7, 7, 4, 6, 0, 3, 12, 6], "hlc": [921723, 10]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [7, 5, 7, 7, 8, 11, 1, 3, 10, 8], "hlc": [921724, 10]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [14, 9, 7, 3, 7, 7, 5, 3, 8, 4], "hlc": [921726, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 0, "vc": [13, 13, 7, 9, 4, 7, 2, 6, 8, 5], "hlc": [921726, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [11, 9, 11, 5, 10, 8, 2, 4, 8, 4], "hlc": [921725, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [11, 9, 12, 7, 10, 11, 2, 4, 10, 8], "hlc": [921725, 5]}
