INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 39500, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [-0.48313919518143633, -3.118698743003673, 2.820022420439673, 0.6018766187339608, 1.3632902781589111, 2.3712916049753687, -1.1797308063677479, -1.8421866366211952, -2.933293312555869, 1.508420287669197]
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [2, 0, 0, 0, 4, 0, 5, 2, 0, 0], "hlc": [921539, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [1, 0, 3, 0, 0, 2, 8, 2, 0, 1], "hlc": [921540, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [1, 0, 4, 0, 0, 2, 8, 2, 0, 1], "hlc": [921541, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [2, 5, 0, 6, 2, 1, 0, 1, 1, 0], "hlc": [921539, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [2, 1, 0, 5, 5, 1, 5, 2, 1, 0], "hlc": [921539, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [2, 3, 0, 0, 4, 0, 5, 2, 0, 6], "hlc": [921540, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921538, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [1, 0, 5, 0, 0, 2, 8, 2, 0, 1], "hlc": [921541, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [2, 5, 0, 7, 2, 1, 0, 1, 1, 0], "hlc": [921539, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [2, 1, 0, 5, 6, 1, 5, 2, 1, 0], "hlc": [921539, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [0, 0, 0, 0, 0, 3, 0, 0, 0, 0], "hlc": [921540, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [1, 0, 3, 0, 0, 2, 9, 2, 0, 1], "hlc": [921540, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [0, 0, 0, 0, 0, 0, 0, 3, 0, 0], "hlc": [921536, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [1, 2, 0, 0, 0, 0, 3, 0, 3, 4], "hlc": [921539, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [4, 5, 0, 7, 2, 1, 0, 1, 1, 0], "hlc": [921539, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [2, 6, 5, 0, 2, 2, 8, 2, 0, 1], "hlc": [921541, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [2, 7, 5, 0, 2, 3, 8, 2, 0, 1], "hlc": [921541, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [3, 0, 6, 0, 0, 2, 8, 2, 0, 1], "hlc": [921541, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [3, 1, 7, 5, 6, 2, 8, 2, 1, 1], "hlc": [921541, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [2, 5, 0, 8, 2, 1, 3, 1, 3, 4], "hlc": [921539, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [1, 0, 3, 0, 0, 2, 9, 4, 0, 1], "hlc": [921540, 5]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [1, 2, 0, 0, 0, 0, 3, 3, 4, 4], "hlc": [921539, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [5, 5, 0, 7, 2, 1, 0, 1, 1, 0], "hlc": [921539, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [2, 8, 5, 0, 2, 3, 8, 2, 0, 1], "hlc": [921541, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [3, 1, 8, 5, 6, 2, 8, 2, 1, 1], "hlc": [921541, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [2, 1, 0, 5, 7, 1, 5, 2, 1, 0], "hlc": [921540, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [0, 0, 0, 0, 0, 4, 0, 0, 0, 0], "hlc": [921541, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [1, 0, 3, 0, 0, 2, 10, 2, 0, 1], "hlc": [921540, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [1, 0, 3, 0, 0, 2, 9, 5, 0, 1], "hlc": [921540, 6]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [2, 3, 0, 0, 4, 0, 5, 2, 0, 7], "hlc": [921540, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [6, 8, 5, 7, 2, 3, 8, 2, 1, 1], "hlc": [921541, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [2, 9, 5, 0, 2, 3, 10, 2, 0, 1], "hlc": [921541, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [5, 5, 9, 7, 6, 2, 8, 2, 1, 1], "hlc": [921542, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [5, 5, 10, 7, 7, 2, 8, 2, 1, 1], "hlc": [921542, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [5, 5, 11, 7, 7, 2, 8, 2, 1, 7], "hlc": [921542, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [3, 1, 8, 5, 6, 2, 11, 2, 1, 1], "hlc": [921541, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [3, 1, 8, 5, 6, 2, 12, 5, 1, 1], "hlc": [921541, 6]}
