INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 44200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 4.5, actual clock drifts: [-1.9962101302354505, 3.6475323162808326, 0.09797276767256324, 1.8472757113429257, 4.1729302575125296, 4.251406150211791, 0.782136864081199, -0.2830100115701928, -3.2022135396809004, 3.8452351858718377]
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [4, 8, 6, 3, 3, 8, 3, 8, 13, 8], "hlc": [921557, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [7, 5, 4, 1, 3, 8, 0, 9, 10, 9], "hlc": [921556, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [1, 5, 7, 1, 3, 3, 3, 1, 4, 10], "hlc": [921557, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [8, 5, 2, 0, 1, 1, 0, 1, 2, 9], "hlc": [921556, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [4, 9, 6, 3, 3, 8, 3, 8, 13, 8], "hlc": [921557, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [0, 0, 0, 4, 0, 0, 0, 0, 0, 0], "hlc": [921555, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [3, 3, 0, 2, 9, 5, 0, 4, 5, 0], "hlc": [921557, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [7, 5, 4, 1, 3, 8, 0, 10, 10, 9], "hlc": [921556, 8]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [4, 5, 6, 1, 3, 7, 3, 5, 14, 8], "hlc": [921556, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [1, 5, 7, 1, 3, 3, 3, 1, 4, 11], "hlc": [921557, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [7, 5, 4, 5, 3, 8, 0, 10, 10, 9], "hlc": [921556, 9]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [5, 5, 6, 1, 3, 10, 3, 5, 14, 8], "hlc": [921558, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [4, 9, 6, 3, 8, 8, 5, 8, 13, 8], "hlc": [921557, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [7, 5, 7, 1, 3, 8, 3, 11, 10, 11], "hlc": [921557, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [4, 5, 6, 4, 3, 7, 3, 5, 15, 8], "hlc": [921556, 9]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [8, 5, 7, 1, 3, 3, 3, 1, 4, 12], "hlc": [921557, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [8, 5, 7, 2, 9, 5, 3, 4, 5, 13], "hlc": [921557, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [4, 10, 6, 3, 3, 8, 3, 8, 13, 8], "hlc": [921557, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [7, 5, 4, 6, 3, 8, 0, 10, 10, 9], "hlc": [921556, 10]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [7, 5, 7, 1, 3, 8, 3, 12, 10, 11], "hlc": [921557, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [4, 5, 6, 4, 3, 7, 3, 5, 16, 8], "hlc": [921556, 10]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [7, 5, 8, 6, 3, 8, 3, 10, 10, 9], "hlc": [921556, 11]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [7, 5, 9, 6, 3, 8, 3, 12, 10, 11], "hlc": [921557, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [7, 5, 7, 4, 3, 8, 3, 13, 16, 11], "hlc": [921557, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [8, 10, 7, 3, 9, 8, 3, 8, 13, 14], "hlc": [921558, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [7, 5, 10, 6, 3, 8, 3, 12, 10, 11], "hlc": [921557, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [7, 5, 4, 7, 3, 8, 0, 10, 10, 9], "hlc": [921556, 11]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [3, 3, 0, 2, 10, 5, 0, 4, 5, 0], "hlc": [921558, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [7, 5, 7, 4, 3, 8, 3, 14, 16, 11], "hlc": [921557, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [4, 5, 6, 4, 3, 7, 3, 5, 17, 8], "hlc": [921556, 11]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [8, 10, 7, 3, 9, 8, 3, 8, 13, 15], "hlc": [921558, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [7, 5, 10, 6, 11, 8, 3, 12, 10, 11], "hlc": [921559, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [8, 10, 7, 3, 9, 8, 6, 8, 13, 15], "hlc": [921558, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [7, 5, 7, 4, 3, 8, 3, 15, 17, 11], "hlc": [921557, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [7, 5, 6, 7, 3, 8, 3, 10, 18, 9], "hlc": [921556, 12]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [7, 5, 6, 7, 10, 8, 3, 10, 19, 9], "hlc": [921558, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [7, 5, 7, 7, 10, 8, 3, 14, 20, 11], "hlc": [921558, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [9, 5, 2, 0, 1, 1, 0, 1, 2, 9], "hlc": [921556, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [4, 11, 6, 3, 3, 8, 3, 8, 13, 8], "hlc": [921558, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [7, 5, 11, 6, 3, 8, 3, 12, 10, 11], "hlc": [921557, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [7, 5, 4, 8, 3, 8, 0, 10, 10, 9], "hlc": [921556, 12]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [7, 5, 10, 6, 12, 8, 3, 12, 10, 11], "hlc": [921559, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [7, 12, 10, 6, 12, 8, 3, 12, 13, 11], "hlc": [921559, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [8, 10, 11, 6, 9, 8, 7, 12, 13, 15], "hlc": [921558, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [8, 10, 11, 8, 9, 8, 8, 12, 13, 15], "hlc": [921558, 4]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [9, 5, 7, 7, 10, 8, 3, 14, 21, 11], "hlc": [921558, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [9, 11, 7, 7, 10, 8, 3, 14, 22, 11], "hlc": [921558, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [10, 5, 2, 0, 1, 1, 0, 1, 2, 9], "hlc": [921556, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [7, 13, 10, 6, 12, 8, 3, 12, 13, 11], "hlc": [921559, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [7, 5, 4, 9, 3, 8, 0, 10, 10, 9], "hlc": [921557, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [7, 5, 10, 6, 13, 8, 3, 12, 10, 11], "hlc": [921559, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [7, 5, 7, 4, 3, 8, 3, 16, 17, 11], "hlc": [921557, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [9, 11, 7, 7, 10, 8, 3, 14, 23, 11], "hlc": [921558, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [8, 10, 7, 3, 9, 8, 3, 8, 13, 16], "hlc": [921559, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [7, 5, 12, 9, 3, 8, 3, 12, 10, 11], "hlc": [921557, 7]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [9, 11, 7, 10, 10, 8, 3, 14, 23, 11], "hlc": [921558, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [7, 5, 10, 6, 14, 8, 3, 16, 17, 11], "hlc": [921560, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [8, 10, 10, 6, 15, 8, 3, 16, 17, 16], "hlc": [921560, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [10, 5, 6, 1, 3, 11, 3, 5, 14, 9], "hlc": [921560, 0]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [7, 13, 10, 6, 12, 8, 3, 17, 17, 11], "hlc": [921559, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [8, 10, 10, 6, 13, 8, 3, 12, 13, 17], "hlc": [921559, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [7, 5, 13, 9, 3, 8, 3, 12, 10, 11], "hlc": [921557, 8]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [9, 11, 7, 11, 10, 8, 3, 14, 23, 11], "hlc": [921558, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [8, 10, 10, 6, 16, 8, 3, 16, 17, 16], "hlc": [921560, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [8, 10, 11, 8, 9, 8, 9, 12, 13, 15], "hlc": [921558, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [7, 13, 10, 6, 12, 8, 3, 18, 17, 11], "hlc": [921559, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [8, 10, 10, 6, 13, 8, 3, 12, 13, 18], "hlc": [921559, 4]}
