INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 45800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [-4.638606445797713, -6.427616644881452, 1.5725137029544118, 7.514017403388451, -6.145261678004413, -4.589303175339167, -4.7199962091575625, -4.427077492702441, 1.0650484831497238, 3.2060777881459046]
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [0, 1, 2, 0, 0, 3, 2, 0, 7, 1], "hlc": [921718, 7]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [0, 2, 0, 0, 0, 0, 0, 2, 0, 0], "hlc": [921715, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [2, 2, 0, 0, 0, 0, 4, 3, 0, 0], "hlc": [921715, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [1, 0, 0, 6, 1, 2, 0, 0, 0, 4], "hlc": [921724, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [5, 0, 0, 0, 0, 0, 1, 0, 3, 1], "hlc": [921718, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [0, 0, 3, 0, 0, 1, 0, 0, 0, 0], "hlc": [921719, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [1, 0, 0, 7, 1, 0, 0, 0, 0, 2], "hlc": [921724, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [2, 0, 0, 0, 0, 0, 5, 0, 0, 0], "hlc": [921715, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [1, 0, 0, 6, 1, 2, 0, 0, 0, 5], "hlc": [921724, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [2, 0, 4, 0, 0, 1, 5, 0, 0, 0], "hlc": [921719, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [5, 0, 0, 0, 0, 0, 6, 0, 3, 1], "hlc": [921718, 6]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [5, 0, 0, 6, 1, 2, 7, 0, 3, 5], "hlc": [921724, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [2, 2, 3, 0, 0, 1, 4, 4, 0, 0], "hlc": [921719, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [1, 0, 0, 7, 1, 2, 0, 0, 0, 6], "hlc": [921724, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [4, 4, 0, 0, 0, 0, 1, 0, 3, 1], "hlc": [921718, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [1, 0, 0, 8, 1, 0, 0, 0, 0, 2], "hlc": [921725, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [1, 0, 0, 5, 5, 0, 0, 1, 0, 2], "hlc": [921723, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [0, 1, 2, 0, 0, 4, 2, 0, 7, 1], "hlc": [921718, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [5, 0, 0, 6, 1, 2, 8, 0, 3, 5], "hlc": [921724, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [2, 2, 3, 0, 0, 1, 4, 5, 0, 0], "hlc": [921719, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [1, 0, 0, 7, 1, 2, 0, 0, 0, 7], "hlc": [921724, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [6, 4, 0, 0, 0, 0, 1, 0, 3, 1], "hlc": [921718, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [7, 4, 2, 0, 0, 4, 2, 0, 7, 1], "hlc": [921718, 9]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [4, 5, 0, 5, 5, 0, 1, 1, 3, 2], "hlc": [921723, 7]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [2, 2, 3, 9, 1, 1, 4, 5, 0, 2], "hlc": [921725, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [1, 1, 2, 8, 1, 5, 2, 0, 7, 2], "hlc": [921725, 1]}
