INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 46200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [-7.536874221170184, -2.163102902069852, -0.49158393818458634, -2.4032800307980526, -6.177854574311581, -0.2822988132730373, 3.0873247499191105, 2.6639909519822567, -4.7618092520009085, 3.4190457986216174]
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [0, 0, 0, 0, 0, 0, 1, 0, 0, 4], "hlc": [921719, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [0, 3, 0, 0, 2, 0, 0, 0, 0, 0], "hlc": [921715, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [0, 0, 4, 1, 0, 0, 3, 1, 0, 0], "hlc": [921719, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [0, 0, 5, 1, 0, 0, 3, 4, 0, 3], "hlc": [921719, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [1, 1, 6, 3, 0, 0, 3, 4, 7, 3], "hlc": [921719, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [4, 0, 0, 5, 0, 0, 0, 2, 0, 0], "hlc": [921718, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [4, 0, 0, 6, 0, 0, 1, 2, 0, 4], "hlc": [921719, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [0, 2, 0, 0, 0, 0, 1, 5, 0, 3], "hlc": [921719, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [5, 0, 0, 0, 0, 0, 0, 2, 0, 0], "hlc": [921718, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [0, 4, 0, 0, 2, 0, 0, 0, 0, 0], "hlc": [921715, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [0, 0, 0, 1, 0, 0, 4, 0, 0, 0], "hlc": [921720, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [4, 0, 0, 7, 0, 0, 4, 2, 0, 4], "hlc": [921720, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [5, 1, 1, 0, 1, 5, 0, 2, 4, 1], "hlc": [921718, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [0, 4, 0, 1, 2, 0, 5, 0, 0, 0], "hlc": [921720, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [1, 1, 7, 3, 0, 0, 3, 4, 7, 3], "hlc": [921719, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [0, 0, 0, 0, 3, 0, 0, 0, 0, 0], "hlc": [921715, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [5, 1, 1, 0, 1, 6, 0, 2, 4, 1], "hlc": [921718, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [0, 2, 0, 0, 0, 0, 1, 6, 0, 3], "hlc": [921720, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [0, 0, 0, 0, 0, 0, 1, 0, 0, 5], "hlc": [921720, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [6, 0, 0, 0, 3, 0, 0, 2, 0, 0], "hlc": [921718, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [7, 2, 0, 0, 3, 0, 1, 6, 0, 3], "hlc": [921720, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [5, 5, 1, 0, 2, 6, 0, 2, 4, 1], "hlc": [921718, 7]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [4, 1, 7, 8, 0, 0, 4, 4, 7, 4], "hlc": [921720, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [0, 4, 0, 1, 2, 0, 6, 0, 0, 5], "hlc": [921721, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [1, 1, 8, 3, 0, 0, 3, 4, 7, 3], "hlc": [921719, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [4, 1, 7, 9, 0, 0, 4, 4, 7, 4], "hlc": [921720, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [5, 1, 1, 0, 1, 7, 0, 2, 4, 1], "hlc": [921718, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [0, 4, 0, 1, 2, 0, 7, 0, 0, 5], "hlc": [921721, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [0, 2, 0, 0, 0, 0, 1, 7, 0, 3], "hlc": [921720, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [0, 0, 0, 0, 0, 0, 1, 0, 0, 6], "hlc": [921721, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [8, 4, 0, 1, 3, 0, 7, 6, 0, 5], "hlc": [921721, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [1, 1, 8, 3, 4, 0, 3, 4, 7, 3], "hlc": [921719, 8]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [1, 2, 8, 3, 5, 0, 3, 7, 7, 3], "hlc": [921720, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [0, 4, 0, 1, 2, 0, 8, 0, 0, 6], "hlc": [921721, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [5, 2, 1, 0, 1, 7, 1, 8, 4, 3], "hlc": [921721, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [4, 1, 7, 9, 0, 0, 4, 4, 8, 4], "hlc": [921720, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [9, 4, 0, 1, 3, 0, 7, 6, 0, 5], "hlc": [921721, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [1, 1, 9, 3, 0, 0, 3, 4, 7, 3], "hlc": [921719, 8]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [4, 1, 7, 10, 0, 0, 4, 4, 7, 4], "hlc": [921720, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [5, 1, 1, 0, 1, 8, 0, 2, 4, 1], "hlc": [921718, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [0, 4, 0, 1, 2, 0, 9, 0, 0, 6], "hlc": [921721, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [5, 2, 1, 0, 1, 7, 1, 9, 4, 3], "hlc": [921721, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [4, 1, 7, 9, 0, 0, 4, 4, 9, 4], "hlc": [921720, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [0, 0, 0, 0, 0, 0, 1, 0, 0, 7], "hlc": [921721, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [10, 4, 7, 9, 3, 0, 7, 6, 9, 5], "hlc": [921721, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [4, 1, 10, 10, 0, 0, 4, 4, 7, 4], "hlc": [921720, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [1, 2, 9, 3, 6, 0, 3, 7, 7, 3], "hlc": [921720, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [9, 4, 0, 1, 3, 0, 10, 6, 0, 6], "hlc": [921722, 0]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [5, 4, 1, 1, 2, 7, 9, 10, 4, 6], "hlc": [921721, 4]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [5, 1, 7, 9, 1, 8, 4, 4, 10, 4], "hlc": [921720, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [5, 2, 7, 9, 1, 8, 4, 9, 11, 4], "hlc": [921721, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [5, 2, 7, 9, 1, 8, 4, 9, 12, 7], "hlc": [921721, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [5, 6, 1, 0, 2, 6, 0, 2, 4, 1], "hlc": [921718, 8]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [4, 1, 7, 11, 0, 0, 4, 4, 7, 4], "hlc": [921720, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [9, 4, 0, 1, 3, 0, 11, 6, 0, 6], "hlc": [921722, 1]}
