INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40700, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [4.640363694966606, 1.8115185812980226, -3.4238207720767413, -1.816102556415288, -5.168889847643173, -5.128256371111185, 5.711239680492989, -3.756598256952955, 6.75546973389922, 6.948259109126912]
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [0, 6, 5, 2, 0, 5, 1, 0, 1, 2], "hlc": [921710, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [7, 2, 6, 1, 0, 0, 1, 1, 0, 1], "hlc": [921709, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [0, 0, 1, 4, 3, 0, 0, 0, 0, 0], "hlc": [921703, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [0, 0, 1, 3, 4, 0, 0, 0, 0, 0], "hlc": [921702, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [0, 3, 2, 2, 2, 7, 0, 6, 2, 2], "hlc": [921710, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [0, 5, 2, 2, 2, 5, 0, 7, 2, 2], "hlc": [921710, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [5, 5, 2, 2, 2, 5, 5, 8, 3, 4], "hlc": [921710, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [7, 2, 7, 1, 0, 0, 1, 1, 0, 1], "hlc": [921709, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [0, 0, 1, 3, 5, 0, 0, 0, 0, 0], "hlc": [921702, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [0, 3, 2, 2, 2, 8, 0, 6, 2, 2], "hlc": [921710, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [5, 1, 0, 1, 0, 0, 6, 1, 3, 4], "hlc": [921710, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [5, 5, 2, 2, 2, 5, 5, 9, 3, 4], "hlc": [921710, 7]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [6, 1, 0, 1, 0, 0, 2, 1, 0, 7], "hlc": [921711, 2]}
