INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 41600, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [-6.37760886140426, -4.677891036411449, 4.818395778005279, -1.867668897931563, -3.3327177088484916, -1.4985504667082843, 5.7418570015691, 0.8382237255644771, -6.3029917511800715, -2.816306075945107]
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [5, 1, 0, 2, 1, 0, 0, 4, 2, 0], "hlc": [921705, 0]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [5, 1, 0, 2, 1, 1, 4, 5, 2, 1], "hlc": [921709, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [0, 0, 0, 0, 1, 0, 0, 3, 4, 0], "hlc": [921704, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [2, 1, 0, 3, 0, 0, 0, 0, 1, 3], "hlc": [921702, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [0, 6, 0, 0, 2, 0, 0, 2, 0, 0], "hlc": [921704, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [0, 0, 3, 0, 0, 0, 1, 0, 0, 0], "hlc": [921709, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [0, 0, 0, 0, 0, 3, 0, 0, 3, 0], "hlc": [921702, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [0, 0, 0, 0, 0, 1, 5, 0, 0, 1], "hlc": [921710, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [5, 1, 0, 2, 1, 1, 4, 6, 2, 1], "hlc": [921709, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [2, 1, 0, 3, 0, 0, 0, 0, 1, 4], "hlc": [921702, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [7, 6, 2, 2, 5, 0, 1, 2, 2, 0], "hlc": [921708, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [0, 7, 0, 0, 2, 1, 5, 2, 0, 1], "hlc": [921710, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [5, 8, 0, 2, 2, 1, 5, 6, 2, 1], "hlc": [921710, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [0, 0, 4, 0, 0, 3, 1, 0, 3, 0], "hlc": [921709, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [0, 2, 3, 0, 6, 0, 1, 0, 0, 0], "hlc": [921709, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [2, 1, 0, 3, 0, 4, 0, 0, 3, 4], "hlc": [921703, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [8, 6, 2, 2, 5, 0, 1, 2, 2, 0], "hlc": [921708, 7]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [5, 9, 0, 2, 2, 1, 5, 6, 2, 1], "hlc": [921710, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [0, 0, 5, 0, 0, 3, 1, 0, 3, 0], "hlc": [921709, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [0, 5, 0, 5, 2, 0, 0, 2, 0, 0], "hlc": [921704, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [0, 2, 3, 0, 7, 0, 1, 0, 0, 0], "hlc": [921709, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [2, 1, 0, 3, 0, 5, 0, 0, 3, 4], "hlc": [921703, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [0, 0, 0, 0, 1, 0, 0, 3, 5, 0], "hlc": [921704, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [5, 10, 0, 5, 2, 1, 5, 6, 2, 1], "hlc": [921710, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [5, 9, 6, 2, 2, 3, 5, 6, 3, 1], "hlc": [921710, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [5, 9, 7, 2, 2, 3, 5, 6, 5, 1], "hlc": [921710, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [2, 5, 0, 6, 2, 5, 0, 2, 3, 4], "hlc": [921704, 6]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [5, 1, 5, 2, 1, 3, 4, 7, 3, 1], "hlc": [921709, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [5, 2, 5, 2, 7, 3, 4, 8, 3, 1], "hlc": [921709, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [8, 6, 2, 3, 5, 0, 1, 2, 2, 5], "hlc": [921708, 8]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [9, 6, 2, 2, 5, 0, 1, 2, 2, 0], "hlc": [921708, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [5, 11, 0, 5, 2, 1, 5, 6, 2, 1], "hlc": [921710, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [5, 9, 8, 2, 2, 3, 5, 6, 5, 1], "hlc": [921710, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [2, 5, 0, 7, 2, 5, 0, 2, 3, 4], "hlc": [921704, 7]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [2, 1, 0, 3, 0, 6, 0, 0, 3, 4], "hlc": [921703, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [0, 0, 0, 0, 0, 1, 6, 0, 0, 1], "hlc": [921711, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [5, 2, 5, 2, 7, 3, 4, 9, 3, 1], "hlc": [921709, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [10, 6, 2, 2, 5, 1, 6, 2, 2, 1], "hlc": [921711, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [5, 2, 5, 2, 8, 3, 4, 9, 3, 1], "hlc": [921709, 8]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [5, 9, 8, 3, 2, 7, 5, 6, 5, 4], "hlc": [921710, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [5, 11, 0, 5, 2, 1, 7, 6, 2, 1], "hlc": [921711, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [5, 11, 0, 5, 2, 6, 8, 6, 3, 4], "hlc": [921711, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [9, 6, 5, 2, 7, 3, 4, 10, 3, 1], "hlc": [921709, 8]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [8, 6, 2, 7, 5, 5, 1, 2, 3, 6], "hlc": [921708, 9]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [5, 12, 0, 5, 2, 1, 5, 6, 2, 1], "hlc": [921710, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [5, 2, 5, 2, 9, 3, 4, 9, 3, 1], "hlc": [921709, 9]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [5, 11, 0, 5, 2, 6, 9, 6, 3, 4], "hlc": [921711, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [9, 6, 5, 2, 7, 3, 4, 11, 3, 1], "hlc": [921709, 9]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [11, 6, 5, 2, 7, 3, 6, 11, 3, 1], "hlc": [921711, 2]}
