INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43500, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 4.5, actual clock drifts: [-1.29904390380503, 0.9190771041927137, -0.4156935713926009, 2.7384752367699132, 0.41554211166360666, -3.8009197764417526, 0.42114031204280344, 1.0601677857580754, -2.8411008116777747, 2.464957760788095]
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [1, 0, 0, 0, 7, 1, 2, 0, 0, 2], "hlc": [921553, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [0, 0, 0, 0, 0, 3, 0, 0, 0, 0], "hlc": [921550, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [2, 0, 2, 4, 3, 1, 0, 3, 6, 0], "hlc": [921554, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [4, 0, 0, 0, 0, 0, 1, 2, 0, 5], "hlc": [921554, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [6, 0, 0, 0, 0, 3, 1, 0, 0, 0], "hlc": [921551, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [7, 0, 2, 4, 3, 3, 1, 3, 6, 0], "hlc": [921554, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [4, 0, 3, 0, 3, 1, 1, 2, 0, 5], "hlc": [921554, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [5, 0, 0, 7, 5, 1, 1, 1, 0, 2], "hlc": [921555, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [1, 0, 0, 6, 5, 4, 0, 1, 0, 2], "hlc": [921554, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [4, 0, 0, 0, 7, 1, 2, 2, 0, 6], "hlc": [921554, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 1, "vc": [8, 0, 2, 4, 3, 3, 1, 3, 6, 0], "hlc": [921554, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [4, 0, 4, 0, 3, 1, 1, 2, 0, 5], "hlc": [921554, 3]}
