INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 39200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [-1.3534631983329302, -2.138564589543664, 0.4992127354699649, -1.4924748262448597, 0.08732003445784375, -3.280038562311149, 0.7357142047804999, 2.1196566151809986, -3.3795911692662695, 0.8531973761167846]
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [3, 3, 5, 0, 0, 0, 0, 2, 0, 0], "hlc": [921539, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [1, 1, 1, 7, 2, 2, 1, 0, 1, 3], "hlc": [921538, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [2, 0, 0, 0, 4, 0, 4, 0, 0, 0], "hlc": [921538, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [2, 0, 0, 0, 5, 0, 4, 0, 2, 0], "hlc": [921538, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [2, 3, 4, 0, 0, 0, 5, 2, 0, 0], "hlc": [921539, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [1, 1, 1, 6, 1, 2, 0, 0, 3, 0], "hlc": [921537, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921536, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [0, 6, 0, 0, 3, 3, 0, 1, 0, 0], "hlc": [921538, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [3, 3, 6, 0, 0, 0, 0, 2, 0, 0], "hlc": [921539, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [1, 1, 1, 8, 2, 2, 1, 0, 1, 3], "hlc": [921538, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [2, 0, 0, 0, 6, 0, 4, 0, 2, 0], "hlc": [921538, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [0, 0, 0, 0, 1, 4, 0, 0, 0, 0], "hlc": [921536, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [1, 1, 1, 6, 1, 2, 0, 0, 4, 0], "hlc": [921537, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [5, 3, 6, 0, 0, 0, 0, 2, 0, 0], "hlc": [921539, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [3, 3, 7, 8, 2, 2, 1, 2, 1, 3], "hlc": [921539, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [3, 3, 8, 8, 2, 4, 1, 2, 1, 3], "hlc": [921539, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [2, 1, 1, 6, 7, 2, 4, 0, 4, 0], "hlc": [921538, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [2, 0, 0, 0, 6, 5, 4, 0, 2, 0], "hlc": [921538, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [4, 0, 0, 0, 0, 0, 2, 4, 0, 0], "hlc": [921540, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [0, 6, 0, 0, 3, 3, 1, 1, 0, 4], "hlc": [921539, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [2, 1, 1, 6, 8, 2, 4, 0, 4, 0], "hlc": [921538, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [1, 1, 1, 6, 1, 2, 0, 0, 5, 0], "hlc": [921537, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [2, 1, 1, 6, 6, 6, 4, 0, 5, 0], "hlc": [921538, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [2, 1, 1, 6, 8, 2, 4, 0, 6, 0], "hlc": [921538, 7]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [3, 3, 9, 8, 2, 4, 1, 2, 1, 3], "hlc": [921539, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [2, 1, 1, 6, 9, 2, 4, 0, 4, 0], "hlc": [921539, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [2, 1, 1, 6, 6, 7, 4, 0, 5, 0], "hlc": [921538, 7]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [0, 6, 0, 0, 3, 3, 1, 1, 0, 5], "hlc": [921539, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [6, 6, 6, 0, 3, 3, 1, 2, 0, 5], "hlc": [921539, 6]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [2, 3, 4, 6, 9, 2, 6, 2, 4, 0], "hlc": [921540, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [3, 6, 9, 8, 3, 4, 1, 2, 1, 6], "hlc": [921540, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [3, 6, 9, 8, 6, 7, 4, 2, 5, 7], "hlc": [921540, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [0, 7, 0, 0, 3, 3, 0, 1, 0, 0], "hlc": [921538, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [3, 3, 10, 8, 2, 4, 1, 2, 1, 3], "hlc": [921540, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [2, 1, 1, 6, 10, 2, 4, 0, 4, 0], "hlc": [921539, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [2, 1, 1, 6, 6, 8, 4, 0, 5, 0], "hlc": [921538, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [2, 3, 4, 6, 9, 2, 7, 2, 4, 0], "hlc": [921540, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [4, 0, 0, 0, 0, 0, 2, 5, 0, 0], "hlc": [921541, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [2, 1, 1, 6, 8, 2, 4, 0, 7, 0], "hlc": [921538, 8]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [7, 6, 10, 8, 3, 4, 1, 2, 1, 5], "hlc": [921540, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [8, 6, 10, 8, 8, 4, 4, 2, 7, 5], "hlc": [921540, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [3, 3, 11, 8, 9, 4, 7, 2, 4, 3], "hlc": [921540, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [4, 1, 1, 9, 2, 2, 2, 5, 1, 3], "hlc": [921541, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [2, 7, 1, 6, 11, 3, 4, 1, 4, 0], "hlc": [921540, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [2, 3, 4, 6, 9, 8, 8, 2, 5, 0], "hlc": [921540, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [3, 6, 9, 8, 10, 7, 4, 2, 5, 8], "hlc": [921540, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [9, 6, 10, 8, 8, 4, 4, 2, 7, 5], "hlc": [921540, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [0, 8, 0, 0, 3, 3, 0, 1, 0, 0], "hlc": [921538, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [2, 7, 1, 6, 12, 3, 4, 1, 4, 0], "hlc": [921540, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [2, 1, 1, 6, 6, 9, 4, 0, 5, 0], "hlc": [921538, 9]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [2, 3, 4, 6, 9, 8, 9, 2, 5, 0], "hlc": [921540, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [4, 0, 0, 0, 0, 0, 2, 6, 0, 0], "hlc": [921542, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [2, 1, 1, 6, 8, 2, 4, 0, 8, 0], "hlc": [921538, 9]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [3, 6, 9, 8, 10, 7, 4, 2, 5, 9], "hlc": [921540, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [2, 8, 1, 6, 13, 3, 4, 1, 4, 0], "hlc": [921540, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [2, 1, 1, 6, 8, 10, 4, 0, 8, 0], "hlc": [921538, 10]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [4, 3, 4, 6, 9, 8, 10, 6, 5, 0], "hlc": [921542, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [9, 6, 10, 8, 8, 4, 4, 2, 9, 5], "hlc": [921540, 4]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [9, 6, 10, 8, 10, 7, 4, 2, 10, 9], "hlc": [921540, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [3, 7, 9, 8, 12, 7, 4, 2, 5, 10], "hlc": [921541, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [3, 7, 9, 8, 12, 9, 4, 2, 5, 11], "hlc": [921541, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [3, 7, 9, 8, 12, 9, 9, 2, 5, 12], "hlc": [921541, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [0, 9, 0, 0, 3, 3, 0, 1, 0, 0], "hlc": [921538, 8]}
