INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [-4.537673824106242, 3.529892533007592, -6.420719151964864, 0.15559342794316944, 6.940146832585171, 1.2097760378212374, -4.504086106868126, -7.334627318156334, -5.9385845191610365, -4.231313300824112]
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [1, 4, 0, 1, 2, 5, 1, 0, 3, 0], "hlc": [921710, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [0, 0, 2, 0, 1, 0, 4, 0, 0, 0], "hlc": [921709, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [0, 0, 0, 1, 0, 0, 0, 1, 5, 0], "hlc": [921702, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [2, 0, 7, 4, 4, 1, 3, 0, 0, 0], "hlc": [921711, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [0, 0, 4, 6, 1, 1, 0, 1, 5, 0], "hlc": [921709, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [3, 0, 0, 1, 0, 0, 0, 1, 6, 0], "hlc": [921702, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [3, 0, 2, 1, 1, 0, 4, 1, 7, 0], "hlc": [921709, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [1, 4, 0, 1, 2, 5, 1, 0, 3, 1], "hlc": [921710, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [1, 6, 0, 0, 0, 0, 1, 2, 1, 0], "hlc": [921708, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [2, 0, 8, 4, 4, 1, 3, 0, 0, 0], "hlc": [921711, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [0, 0, 2, 0, 5, 0, 3, 0, 0, 0], "hlc": [921711, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [0, 0, 2, 0, 1, 0, 5, 0, 0, 0], "hlc": [921709, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [0, 0, 0, 0, 0, 0, 0, 3, 0, 0], "hlc": [921702, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [3, 0, 2, 1, 1, 0, 4, 1, 8, 0], "hlc": [921709, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [4, 0, 2, 0, 5, 0, 3, 0, 0, 0], "hlc": [921711, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [1, 6, 4, 7, 1, 1, 1, 2, 5, 0], "hlc": [921709, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [2, 0, 8, 4, 6, 1, 3, 0, 0, 0], "hlc": [921712, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [3, 4, 2, 1, 2, 6, 4, 1, 8, 0], "hlc": [921710, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [0, 0, 2, 0, 1, 0, 5, 4, 0, 0], "hlc": [921709, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [3, 0, 2, 1, 1, 0, 4, 3, 9, 0], "hlc": [921709, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [1, 7, 0, 0, 0, 0, 1, 2, 1, 0], "hlc": [921708, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [1, 6, 4, 8, 1, 1, 1, 2, 5, 0], "hlc": [921709, 8]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [2, 0, 8, 4, 7, 1, 3, 0, 0, 0], "hlc": [921712, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [0, 0, 2, 0, 1, 0, 5, 5, 0, 0], "hlc": [921709, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [1, 4, 0, 1, 2, 5, 1, 0, 3, 2], "hlc": [921710, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [2, 0, 9, 4, 7, 1, 3, 0, 0, 0], "hlc": [921712, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [2, 6, 8, 8, 8, 1, 3, 2, 5, 0], "hlc": [921712, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [2, 6, 8, 8, 9, 5, 3, 2, 5, 2], "hlc": [921712, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [3, 7, 2, 1, 1, 0, 4, 3, 10, 0], "hlc": [921709, 9]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [1, 4, 2, 1, 2, 5, 5, 5, 3, 3], "hlc": [921710, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [1, 6, 4, 9, 1, 1, 1, 2, 5, 0], "hlc": [921709, 9]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [3, 4, 2, 1, 2, 7, 4, 1, 8, 0], "hlc": [921710, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [0, 0, 2, 0, 1, 0, 6, 0, 0, 0], "hlc": [921709, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [0, 0, 2, 0, 1, 0, 5, 6, 0, 0], "hlc": [921709, 9]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [1, 4, 2, 1, 2, 5, 5, 5, 3, 4], "hlc": [921710, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [1, 8, 2, 1, 2, 5, 5, 5, 3, 4], "hlc": [921710, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [3, 4, 2, 1, 2, 8, 6, 1, 8, 0], "hlc": [921710, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [1, 6, 4, 9, 1, 1, 7, 2, 5, 0], "hlc": [921709, 10]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [3, 4, 2, 1, 2, 7, 5, 5, 8, 5], "hlc": [921710, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [3, 4, 2, 1, 2, 7, 5, 6, 8, 6], "hlc": [921710, 8]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [5, 0, 2, 0, 5, 0, 3, 0, 0, 0], "hlc": [921711, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [1, 9, 2, 1, 2, 5, 5, 5, 3, 4], "hlc": [921710, 8]}
