INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 48300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 2.5, actual clock drifts: [1.4760390548873974, -1.4678991170659645, -1.344117002502447, -0.05486286985758593, 2.447899180652379, 2.498927778112341, -1.2929762802271965, 1.3533827220230576, 0.03667206557709424, 1.4477243663396049]
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [0, 0, 3, 0, 0, 0, 0, 0, 3, 0], "hlc": [921525, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [4, 1, 3, 1, 3, 0, 0, 1, 4, 5], "hlc": [921526, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [7, 2, 2, 1, 0, 0, 4, 0, 1, 0], "hlc": [921526, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [0, 0, 4, 0, 0, 0, 0, 0, 0, 0], "hlc": [921523, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [1, 0, 0, 5, 1, 0, 0, 0, 0, 0], "hlc": [921526, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [1, 0, 0, 4, 5, 0, 0, 0, 0, 1], "hlc": [921527, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [0, 0, 1, 0, 0, 4, 2, 0, 1, 0], "hlc": [921527, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [0, 0, 2, 0, 0, 0, 5, 0, 1, 0], "hlc": [921523, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [0, 0, 0, 0, 0, 1, 0, 4, 2, 0], "hlc": [921526, 3]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [0, 3, 2, 0, 0, 0, 5, 0, 1, 0], "hlc": [921524, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [7, 2, 5, 1, 0, 0, 4, 0, 1, 0], "hlc": [921526, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [1, 0, 2, 5, 1, 0, 6, 0, 1, 0], "hlc": [921526, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [1, 0, 2, 5, 1, 4, 7, 0, 1, 0], "hlc": [921527, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [4, 1, 4, 1, 3, 0, 0, 1, 5, 5], "hlc": [921526, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [4, 1, 4, 1, 3, 1, 0, 4, 6, 5], "hlc": [921526, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [4, 1, 0, 4, 5, 0, 0, 1, 0, 6], "hlc": [921527, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [7, 2, 6, 1, 0, 0, 4, 0, 1, 0], "hlc": [921526, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [1, 0, 0, 6, 1, 0, 0, 0, 0, 0], "hlc": [921526, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [1, 0, 0, 4, 6, 0, 0, 0, 0, 1], "hlc": [921528, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [0, 0, 1, 0, 0, 5, 2, 0, 1, 0], "hlc": [921528, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [0, 0, 0, 0, 0, 1, 0, 5, 2, 0], "hlc": [921527, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [4, 1, 4, 1, 3, 1, 0, 4, 7, 5], "hlc": [921526, 8]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [8, 2, 2, 1, 0, 5, 4, 0, 1, 0], "hlc": [921528, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [7, 4, 6, 1, 0, 0, 5, 0, 1, 0], "hlc": [921526, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [7, 5, 6, 6, 1, 0, 5, 0, 1, 0], "hlc": [921526, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [7, 6, 6, 6, 3, 1, 5, 4, 7, 5], "hlc": [921526, 9]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [1, 0, 2, 5, 6, 4, 8, 0, 1, 1], "hlc": [921528, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [4, 1, 0, 4, 5, 1, 0, 5, 2, 7], "hlc": [921527, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [9, 2, 2, 1, 0, 5, 4, 0, 1, 0], "hlc": [921528, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [7, 7, 6, 6, 3, 1, 5, 4, 7, 5], "hlc": [921526, 10]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [1, 0, 0, 4, 7, 0, 0, 0, 0, 1], "hlc": [921528, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [0, 0, 1, 0, 0, 6, 2, 0, 1, 0], "hlc": [921528, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [1, 0, 2, 5, 6, 4, 9, 0, 1, 1], "hlc": [921528, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [0, 0, 0, 0, 0, 1, 0, 6, 2, 0], "hlc": [921527, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [4, 1, 0, 4, 5, 1, 0, 5, 2, 8], "hlc": [921527, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [7, 8, 6, 6, 3, 1, 5, 6, 7, 5], "hlc": [921527, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [7, 7, 6, 6, 8, 1, 5, 4, 7, 5], "hlc": [921529, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [1, 0, 1, 4, 7, 7, 2, 0, 1, 1], "hlc": [921529, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [9, 2, 2, 5, 6, 5, 10, 0, 1, 1], "hlc": [921528, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [0, 0, 1, 0, 0, 6, 2, 7, 2, 0], "hlc": [921528, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [1, 0, 2, 5, 6, 6, 9, 8, 2, 1], "hlc": [921528, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [4, 1, 4, 4, 5, 1, 0, 5, 8, 8], "hlc": [921527, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [10, 2, 2, 1, 0, 5, 4, 0, 1, 0], "hlc": [921528, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [7, 2, 7, 1, 0, 0, 4, 0, 1, 0], "hlc": [921526, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [7, 7, 6, 6, 9, 1, 5, 4, 7, 5], "hlc": [921529, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [9, 2, 2, 5, 6, 5, 11, 0, 1, 1], "hlc": [921528, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [1, 0, 2, 5, 6, 6, 9, 9, 2, 1], "hlc": [921528, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [11, 7, 6, 6, 9, 5, 5, 4, 7, 5], "hlc": [921529, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [7, 2, 8, 5, 6, 6, 9, 9, 2, 1], "hlc": [921528, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [9, 2, 2, 7, 6, 5, 11, 0, 1, 1], "hlc": [921528, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [10, 7, 6, 6, 10, 5, 5, 4, 7, 5], "hlc": [921529, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [7, 2, 7, 4, 5, 1, 4, 5, 9, 8], "hlc": [921527, 6]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [12, 7, 6, 6, 9, 5, 5, 4, 7, 5], "hlc": [921529, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [7, 9, 6, 6, 3, 1, 5, 6, 7, 5], "hlc": [921527, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [10, 7, 6, 6, 11, 5, 5, 4, 7, 5], "hlc": [921529, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [9, 2, 2, 5, 6, 5, 12, 0, 1, 1], "hlc": [921528, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [1, 0, 2, 5, 6, 6, 9, 10, 2, 1], "hlc": [921528, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [9, 10, 6, 6, 6, 5, 12, 6, 7, 5], "hlc": [921528, 6]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [7, 9, 9, 6, 6, 6, 9, 9, 7, 5], "hlc": [921528, 6]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [10, 7, 6, 8, 11, 5, 11, 4, 7, 5], "hlc": [921529, 4]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [10, 7, 6, 6, 12, 6, 9, 10, 7, 5], "hlc": [921530, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [12, 7, 6, 6, 9, 5, 5, 5, 7, 9], "hlc": [921529, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [13, 7, 6, 6, 9, 5, 5, 4, 7, 5], "hlc": [921529, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [10, 7, 6, 9, 11, 5, 11, 4, 7, 5], "hlc": [921529, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [1, 0, 1, 4, 7, 8, 2, 0, 1, 1], "hlc": [921530, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [9, 2, 2, 5, 6, 5, 13, 0, 1, 1], "hlc": [921528, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [1, 0, 2, 5, 6, 6, 9, 11, 2, 1], "hlc": [921529, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [9, 11, 6, 6, 7, 8, 12, 6, 7, 5], "hlc": [921530, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [10, 7, 6, 9, 11, 9, 11, 4, 7, 5], "hlc": [921530, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [10, 7, 6, 9, 11, 10, 13, 4, 7, 5], "hlc": [921530, 2]}
