INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 44500, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [4.934065913022955, 4.321506688542689, -0.7359559431406693, -0.4020311310230609, -2.8844492468372165, 6.211208571283658, -5.636824231886484, 3.7072094771019, -2.398418839343095, -2.7461644659817117]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [5, 0, 0, 4, 0, 0, 1, 1, 0, 0], "hlc": [921694, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [0, 3, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921694, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [4, 1, 6, 4, 1, 0, 5, 1, 4, 1], "hlc": [921694, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [3, 0, 0, 8, 0, 0, 1, 1, 0, 3], "hlc": [921693, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [0, 0, 0, 0, 2, 0, 0, 0, 0, 0], "hlc": [921687, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [3, 0, 1, 7, 0, 0, 7, 1, 0, 3], "hlc": [921693, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [0, 2, 0, 1, 0, 0, 0, 0, 6, 0], "hlc": [921693, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 4], "hlc": [921687, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [0, 4, 0, 0, 0, 0, 0, 0, 0, 4], "hlc": [921694, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [4, 1, 6, 9, 1, 0, 5, 1, 4, 3], "hlc": [921694, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [4, 1, 6, 10, 2, 0, 5, 1, 4, 3], "hlc": [921694, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [5, 0, 0, 4, 3, 0, 1, 1, 0, 0], "hlc": [921694, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [5, 3, 0, 4, 4, 0, 1, 1, 0, 0], "hlc": [921694, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [3, 0, 0, 8, 0, 2, 1, 1, 1, 3], "hlc": [921696, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [3, 0, 1, 8, 0, 3, 7, 1, 1, 3], "hlc": [921696, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [3, 2, 1, 8, 0, 4, 7, 1, 6, 3], "hlc": [921696, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [4, 1, 7, 4, 1, 0, 5, 1, 4, 1], "hlc": [921694, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [4, 1, 6, 11, 2, 0, 5, 1, 4, 3], "hlc": [921694, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [3, 0, 1, 7, 0, 0, 8, 1, 0, 3], "hlc": [921693, 8]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [0, 2, 0, 1, 0, 0, 0, 0, 7, 0], "hlc": [921693, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 5], "hlc": [921687, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [0, 5, 0, 1, 0, 0, 0, 0, 7, 4], "hlc": [921695, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [3, 2, 1, 8, 0, 5, 7, 1, 6, 5], "hlc": [921697, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [3, 2, 1, 7, 0, 0, 8, 1, 8, 3], "hlc": [921693, 9]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [4, 1, 7, 4, 1, 0, 5, 1, 4, 6], "hlc": [921694, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [4, 1, 7, 11, 2, 0, 5, 1, 4, 7], "hlc": [921694, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [6, 0, 0, 4, 0, 0, 1, 1, 0, 0], "hlc": [921695, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [0, 6, 0, 1, 0, 0, 0, 0, 7, 4], "hlc": [921695, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [4, 1, 8, 4, 1, 0, 5, 1, 4, 1], "hlc": [921694, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [3, 2, 1, 7, 0, 0, 8, 1, 9, 3], "hlc": [921693, 10]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [4, 1, 7, 11, 2, 0, 5, 1, 4, 8], "hlc": [921694, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [6, 1, 6, 12, 2, 0, 5, 1, 4, 3], "hlc": [921695, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [5, 3, 7, 11, 5, 0, 5, 1, 4, 8], "hlc": [921694, 9]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [4, 1, 8, 7, 1, 0, 9, 1, 4, 3], "hlc": [921694, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [4, 6, 7, 11, 2, 0, 5, 1, 7, 9], "hlc": [921695, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [4, 6, 7, 11, 2, 0, 8, 1, 9, 10], "hlc": [921695, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [7, 0, 0, 4, 0, 0, 1, 1, 0, 0], "hlc": [921696, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [4, 1, 9, 4, 1, 0, 5, 1, 4, 1], "hlc": [921694, 6]}
