INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 41800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [5.480424219494598, -9.231175906599294, 3.1231980112937663, 8.535423921479932, 6.595823411711919, -1.3379105014714963, 0.4264611855407878, -6.819227306629036, 2.8346040311422573, -0.6379613963726758]
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [0, 0, 0, 3, 1, 4, 2, 3, 0, 0], "hlc": [921737, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [0, 0, 0, 5, 1, 0, 3, 4, 0, 0], "hlc": [921738, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [0, 0, 0, 3, 1, 5, 2, 3, 0, 0], "hlc": [921737, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [0, 0, 0, 5, 1, 0, 4, 4, 0, 0], "hlc": [921738, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [1, 0, 0, 0, 0, 0, 1, 0, 5, 0], "hlc": [921733, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [0, 0, 1, 0, 0, 0, 0, 0, 0, 4], "hlc": [921731, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [4, 0, 0, 3, 1, 5, 2, 3, 2, 0], "hlc": [921737, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [5, 0, 0, 5, 1, 5, 4, 4, 2, 0], "hlc": [921738, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [1, 0, 0, 0, 1, 0, 1, 5, 5, 0], "hlc": [921734, 4]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [1, 0, 1, 0, 0, 0, 1, 0, 6, 4], "hlc": [921733, 6]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [6, 0, 0, 5, 1, 5, 4, 4, 2, 0], "hlc": [921738, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [3, 6, 0, 1, 1, 2, 0, 3, 2, 0], "hlc": [921736, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [0, 1, 1, 2, 6, 0, 0, 0, 0, 3], "hlc": [921737, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [0, 0, 0, 3, 1, 6, 2, 3, 0, 0], "hlc": [921737, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [0, 0, 0, 5, 1, 0, 5, 4, 0, 0], "hlc": [921738, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [1, 0, 0, 0, 1, 0, 1, 6, 5, 0], "hlc": [921734, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [0, 0, 2, 5, 1, 0, 5, 4, 0, 0], "hlc": [921738, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [6, 0, 0, 5, 1, 7, 4, 4, 2, 0], "hlc": [921738, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [6, 0, 0, 5, 1, 8, 4, 6, 5, 0], "hlc": [921738, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [3, 6, 1, 1, 1, 2, 1, 3, 7, 4], "hlc": [921736, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [3, 6, 1, 3, 1, 6, 2, 3, 8, 4], "hlc": [921737, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [0, 1, 1, 2, 6, 0, 0, 0, 0, 5], "hlc": [921737, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [7, 0, 0, 5, 1, 5, 4, 4, 2, 0], "hlc": [921738, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [0, 0, 3, 5, 1, 0, 5, 4, 0, 0], "hlc": [921738, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [1, 0, 0, 7, 1, 0, 1, 4, 4, 0], "hlc": [921739, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [6, 0, 0, 5, 1, 9, 4, 6, 5, 0], "hlc": [921738, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [0, 0, 0, 5, 1, 0, 6, 4, 0, 0], "hlc": [921738, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [1, 0, 0, 0, 1, 0, 1, 7, 5, 0], "hlc": [921734, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [3, 6, 1, 3, 1, 6, 2, 3, 9, 4], "hlc": [921737, 7]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [7, 0, 0, 8, 1, 5, 4, 4, 4, 0], "hlc": [921740, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [7, 0, 3, 9, 1, 5, 5, 4, 4, 0], "hlc": [921740, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [7, 0, 3, 10, 1, 5, 6, 4, 4, 0], "hlc": [921740, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [7, 6, 3, 11, 1, 6, 6, 4, 9, 4], "hlc": [921740, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [6, 0, 0, 5, 1, 10, 4, 7, 5, 0], "hlc": [921738, 9]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [6, 6, 1, 5, 1, 9, 4, 6, 10, 4], "hlc": [921738, 9]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [1, 1, 1, 7, 6, 0, 1, 4, 4, 6], "hlc": [921739, 1]}
