INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 45900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 1.5, actual clock drifts: [0.9597124974850475, 0.6468394492244554, -1.3016824811378456, 0.9856248029604497, 0.16959612478525798, 0.7963334911451918, -1.1794142461013, 0.24045884814160345, -1.3706571917734398, 0.862760447632974]
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [0, 0, 0, 0, 7, 0, 4, 3, 2, 2], "hlc": [921210, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [0, 0, 1, 6, 6, 0, 8, 3, 2, 2], "hlc": [921210, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [0, 6, 0, 1, 1, 1, 0, 6, 2, 0], "hlc": [921210, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 0, "vc": [4, 12, 4, 1, 4, 2, 5, 1, 1, 2], "hlc": [921211, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [4, 13, 4, 6, 6, 2, 8, 3, 2, 2], "hlc": [921211, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [4, 14, 4, 6, 6, 2, 8, 6, 2, 2], "hlc": [921211, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [0, 0, 0, 0, 7, 3, 4, 3, 2, 2], "hlc": [921211, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [2, 11, 4, 1, 4, 2, 5, 1, 1, 5], "hlc": [921211, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [2, 11, 6, 1, 4, 2, 5, 5, 2, 6], "hlc": [921211, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [5, 9, 0, 1, 1, 1, 5, 1, 1, 0], "hlc": [921211, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [4, 15, 4, 6, 6, 2, 8, 6, 2, 2], "hlc": [921211, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [0, 0, 1, 7, 0, 0, 3, 1, 0, 1], "hlc": [921211, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [0, 0, 0, 0, 8, 0, 4, 3, 2, 2], "hlc": [921210, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [0, 6, 0, 1, 1, 1, 0, 7, 2, 0], "hlc": [921210, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [2, 11, 6, 1, 4, 2, 5, 5, 2, 7], "hlc": [921211, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [4, 16, 6, 6, 6, 2, 8, 6, 2, 7], "hlc": [921211, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [4, 15, 7, 6, 6, 2, 8, 6, 2, 2], "hlc": [921211, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [4, 15, 8, 6, 6, 2, 8, 7, 2, 2], "hlc": [921211, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [5, 9, 0, 1, 9, 1, 5, 3, 2, 2], "hlc": [921211, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [0, 6, 0, 1, 8, 1, 4, 8, 2, 2], "hlc": [921211, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [2, 11, 6, 7, 4, 2, 5, 5, 2, 8], "hlc": [921211, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [6, 9, 0, 1, 1, 1, 5, 1, 1, 0], "hlc": [921211, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [0, 0, 1, 8, 0, 0, 3, 1, 0, 1], "hlc": [921211, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [5, 9, 0, 1, 10, 1, 5, 3, 2, 2], "hlc": [921211, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [0, 0, 0, 0, 7, 4, 4, 3, 2, 2], "hlc": [921211, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [0, 0, 1, 6, 6, 0, 9, 3, 2, 2], "hlc": [921210, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [0, 6, 0, 1, 8, 1, 4, 9, 2, 2], "hlc": [921211, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [2, 11, 6, 7, 4, 2, 5, 5, 2, 9], "hlc": [921211, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [4, 17, 6, 8, 6, 2, 8, 6, 2, 7], "hlc": [921212, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [5, 18, 6, 8, 10, 2, 8, 6, 2, 7], "hlc": [921212, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [6, 9, 0, 1, 7, 5, 5, 3, 2, 2], "hlc": [921212, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [6, 9, 1, 6, 7, 6, 9, 3, 2, 2], "hlc": [921212, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [0, 0, 1, 6, 7, 4, 10, 3, 2, 2], "hlc": [921211, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [0, 6, 1, 6, 8, 4, 11, 9, 2, 2], "hlc": [921211, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [2, 11, 6, 7, 8, 2, 5, 10, 2, 9], "hlc": [921211, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [7, 9, 0, 1, 1, 1, 5, 1, 1, 0], "hlc": [921212, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [5, 19, 6, 8, 10, 2, 8, 6, 2, 7], "hlc": [921212, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [0, 0, 1, 9, 0, 0, 3, 1, 0, 1], "hlc": [921212, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [2, 11, 6, 7, 8, 2, 5, 11, 2, 9], "hlc": [921211, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [0, 4, 1, 5, 0, 1, 3, 1, 5, 4], "hlc": [921210, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [4, 15, 9, 7, 8, 2, 8, 11, 2, 9], "hlc": [921211, 7]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [0, 4, 1, 10, 0, 1, 3, 1, 5, 4], "hlc": [921212, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [7, 9, 1, 6, 8, 4, 12, 9, 2, 2], "hlc": [921212, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [5, 19, 6, 8, 10, 2, 8, 12, 2, 9], "hlc": [921212, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [5, 19, 6, 9, 10, 2, 8, 13, 2, 9], "hlc": [921212, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [4, 15, 10, 7, 8, 2, 8, 11, 2, 9], "hlc": [921211, 8]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [5, 9, 0, 1, 11, 1, 5, 3, 2, 2], "hlc": [921212, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [5, 19, 6, 9, 10, 2, 8, 14, 2, 9], "hlc": [921212, 5]}
