INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 38900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [0.451317948914463, -2.5030623254411446, 3.2688883761473253, 0.6052339151026747, -3.444486011903686, -3.0410168546161036, 1.7194204890545501, 2.3335325413453205, 2.038787694054383, 0.20562597648524283]
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [4, 0, 0, 0, 1, 0, 3, 3, 1, 0], "hlc": [921540, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [1, 0, 1, 0, 4, 1, 0, 0, 4, 0], "hlc": [921540, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 1, "vc": [5, 0, 0, 0, 0, 0, 3, 0, 1, 0], "hlc": [921538, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [0, 3, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921536, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [2, 2, 10, 0, 7, 0, 1, 1, 0, 1], "hlc": [921541, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [0, 0, 0, 0, 0, 2, 0, 0, 0, 0], "hlc": [921536, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [2, 1, 7, 0, 0, 0, 5, 1, 1, 0], "hlc": [921540, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [1, 0, 1, 0, 4, 1, 0, 0, 5, 0], "hlc": [921540, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 0, "vc": [5, 4, 0, 0, 0, 0, 3, 0, 1, 0], "hlc": [921538, 6]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [1, 0, 1, 2, 4, 1, 0, 0, 5, 0], "hlc": [921540, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [1, 0, 4, 1, 9, 2, 1, 1, 0, 1], "hlc": [921540, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [0, 3, 0, 0, 0, 0, 0, 0, 2, 3], "hlc": [921539, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [2, 3, 10, 0, 7, 0, 1, 1, 2, 4], "hlc": [921541, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [2, 3, 10, 0, 7, 0, 5, 1, 2, 5], "hlc": [921541, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [5, 5, 0, 0, 0, 0, 3, 0, 1, 0], "hlc": [921538, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [1, 0, 1, 3, 4, 1, 0, 0, 5, 0], "hlc": [921540, 3]}
