INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 32600, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 5.5, actual clock drifts: [4.582578087136238, 4.661347241719875, -2.6072762978053583, 4.244477923692438, 0.30801109752202205, 2.319896196745588, 3.768277303612054, -2.98536925244487, -3.2981121699556466, 1.7669213966819166]
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [0, 0, 2, 3, 1, 6, 0, 0, 0, 1], "hlc": [921575, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [4, 1, 1, 2, 0, 0, 6, 0, 2, 0], "hlc": [921575, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [5, 0, 0, 2, 0, 0, 0, 0, 0, 0], "hlc": [921576, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [0, 5, 1, 0, 0, 0, 3, 0, 0, 0], "hlc": [921576, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [0, 1, 1, 0, 5, 1, 5, 0, 2, 0], "hlc": [921575, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [0, 0, 2, 3, 1, 7, 0, 0, 0, 1], "hlc": [921575, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [4, 1, 1, 2, 0, 0, 7, 0, 2, 0], "hlc": [921575, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [0, 3, 0, 0, 3, 4, 1, 0, 6, 1], "hlc": [921575, 6]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [1, 0, 0, 0, 0, 0, 0, 2, 0, 3], "hlc": [921574, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [1, 6, 1, 0, 0, 0, 3, 2, 0, 3], "hlc": [921577, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [5, 0, 3, 2, 0, 0, 0, 0, 0, 0], "hlc": [921576, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [5, 3, 4, 2, 3, 4, 1, 0, 6, 1], "hlc": [921576, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [0, 5, 1, 4, 0, 0, 3, 0, 0, 0], "hlc": [921576, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [4, 1, 1, 2, 0, 0, 7, 3, 2, 0], "hlc": [921575, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [0, 3, 2, 3, 3, 7, 1, 0, 7, 1], "hlc": [921575, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [1, 1, 1, 0, 5, 1, 5, 2, 2, 4], "hlc": [921575, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [6, 0, 0, 2, 0, 0, 0, 0, 0, 0], "hlc": [921576, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [5, 3, 5, 2, 3, 4, 1, 0, 6, 1], "hlc": [921576, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [0, 5, 1, 5, 0, 0, 3, 0, 0, 0], "hlc": [921576, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [0, 1, 1, 0, 6, 1, 5, 0, 2, 0], "hlc": [921575, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [4, 1, 1, 2, 0, 0, 8, 0, 2, 0], "hlc": [921576, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [1, 1, 1, 0, 5, 1, 5, 2, 2, 5], "hlc": [921575, 8]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [7, 5, 1, 5, 0, 0, 3, 0, 0, 0], "hlc": [921577, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [8, 5, 1, 5, 6, 1, 5, 0, 2, 0], "hlc": [921577, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [4, 7, 1, 2, 0, 0, 8, 2, 2, 3], "hlc": [921577, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [1, 1, 2, 3, 5, 8, 5, 2, 2, 5], "hlc": [921575, 9]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [6, 3, 2, 3, 3, 7, 1, 0, 8, 1], "hlc": [921576, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [5, 3, 5, 2, 5, 4, 5, 2, 6, 6], "hlc": [921576, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [9, 5, 1, 5, 6, 1, 5, 0, 2, 0], "hlc": [921577, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [5, 3, 6, 2, 3, 4, 1, 0, 6, 1], "hlc": [921576, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [1, 1, 2, 3, 5, 9, 5, 2, 2, 5], "hlc": [921575, 10]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [4, 1, 1, 2, 0, 0, 9, 0, 2, 0], "hlc": [921576, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [10, 5, 6, 5, 6, 4, 5, 0, 6, 1], "hlc": [921578, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [5, 3, 7, 3, 5, 9, 5, 2, 6, 5], "hlc": [921576, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [4, 1, 2, 3, 5, 10, 9, 2, 2, 5], "hlc": [921576, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [9, 5, 5, 5, 6, 4, 5, 2, 6, 7], "hlc": [921577, 3]}
