INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 60600, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [7.999770279463277, -3.181810852089362, -8.06894121172104, 4.0464282901894695, -0.5252321431411922, 7.551715214138667, 2.367465263375582, 8.287410226459514, -1.1854641268384878, -6.760127648980847]
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [1, 2, 4, 1, 2, 0, 8, 2, 1, 1], "hlc": [921740, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [0, 0, 0, 0, 0, 1, 0, 0, 4, 0], "hlc": [921739, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [0, 1, 5, 0, 0, 0, 0, 1, 0, 3], "hlc": [921740, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [4, 0, 0, 0, 0, 3, 1, 0, 0, 0], "hlc": [921741, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [0, 3, 6, 0, 0, 0, 0, 1, 0, 1], "hlc": [921740, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [0, 3, 7, 0, 0, 0, 0, 1, 0, 3], "hlc": [921740, 7]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [1, 2, 4, 3, 2, 0, 8, 2, 1, 1], "hlc": [921740, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [1, 2, 4, 4, 2, 1, 8, 2, 4, 1], "hlc": [921740, 9]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [3, 0, 0, 2, 0, 2, 1, 6, 2, 0], "hlc": [921742, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [0, 1, 5, 0, 3, 0, 0, 2, 0, 4], "hlc": [921740, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [5, 0, 0, 0, 0, 3, 1, 0, 0, 0], "hlc": [921741, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [0, 0, 0, 0, 0, 4, 0, 0, 0, 0], "hlc": [921741, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [1, 2, 4, 1, 2, 0, 9, 2, 1, 1], "hlc": [921740, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [3, 0, 0, 2, 0, 2, 1, 7, 2, 0], "hlc": [921742, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [0, 0, 0, 0, 0, 1, 0, 0, 5, 0], "hlc": [921739, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [0, 1, 5, 0, 3, 0, 0, 2, 0, 5], "hlc": [921740, 8]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [0, 4, 0, 0, 0, 1, 0, 0, 5, 0], "hlc": [921739, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [1, 2, 4, 5, 2, 1, 9, 2, 4, 1], "hlc": [921740, 10]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [3, 2, 4, 6, 2, 2, 9, 7, 4, 1], "hlc": [921742, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [3, 2, 5, 7, 3, 2, 9, 7, 4, 5], "hlc": [921742, 3]}
