INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 32400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 5.5, actual clock drifts: [-4.877925451580871, 5.363436442338402, -4.029235270109824, -1.3411864748572855, -2.14275789177532, -3.7701298154795695, -4.699692344505957, -2.71360002835131, -5.085700452647195, -0.937748729269515]
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [0, 0, 0, 0, 0, 1, 0, 0, 3, 0], "hlc": [921570, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [5, 1, 0, 0, 0, 0, 1, 1, 0, 4], "hlc": [921575, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [0, 7, 0, 2, 0, 0, 0, 3, 1, 0], "hlc": [921577, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [1, 3, 0, 1, 6, 0, 2, 1, 0, 2], "hlc": [921576, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [0, 0, 0, 0, 0, 2, 0, 0, 0, 0], "hlc": [921570, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [0, 0, 2, 0, 1, 0, 0, 6, 1, 3], "hlc": [921570, 6]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [5, 1, 0, 0, 0, 0, 1, 1, 0, 5], "hlc": [921575, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [6, 7, 0, 2, 0, 0, 1, 3, 1, 0], "hlc": [921577, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [0, 8, 0, 2, 0, 2, 0, 3, 1, 0], "hlc": [921577, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [1, 3, 2, 1, 7, 0, 2, 6, 1, 3], "hlc": [921576, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [1, 3, 0, 1, 6, 3, 2, 1, 0, 2], "hlc": [921576, 6]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [5, 1, 2, 0, 1, 0, 1, 7, 1, 5], "hlc": [921575, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [7, 7, 0, 2, 0, 0, 1, 3, 1, 0], "hlc": [921577, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [0, 9, 0, 2, 0, 2, 0, 3, 1, 0], "hlc": [921577, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [0, 0, 4, 0, 1, 0, 0, 0, 2, 0], "hlc": [921570, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [1, 3, 2, 1, 8, 0, 2, 6, 1, 3], "hlc": [921576, 7]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [1, 3, 0, 1, 6, 4, 2, 1, 0, 2], "hlc": [921576, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [4, 5, 0, 1, 0, 0, 5, 3, 1, 0], "hlc": [921576, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [5, 1, 2, 0, 1, 0, 1, 8, 1, 5], "hlc": [921575, 8]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [0, 0, 0, 0, 0, 1, 0, 0, 4, 0], "hlc": [921570, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [5, 1, 0, 0, 0, 0, 1, 1, 0, 6], "hlc": [921575, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [8, 7, 2, 2, 8, 0, 2, 6, 1, 3], "hlc": [921577, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [9, 7, 2, 2, 8, 1, 2, 6, 4, 3], "hlc": [921577, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [1, 10, 0, 2, 6, 4, 2, 3, 1, 2], "hlc": [921578, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [5, 11, 0, 2, 6, 4, 2, 3, 1, 6], "hlc": [921578, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [0, 9, 0, 3, 0, 2, 0, 3, 1, 0], "hlc": [921577, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [7, 7, 0, 2, 6, 5, 2, 3, 1, 2], "hlc": [921577, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [7, 7, 4, 2, 6, 6, 2, 3, 2, 2], "hlc": [921577, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [7, 7, 4, 2, 6, 7, 2, 8, 2, 5], "hlc": [921577, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [5, 5, 0, 1, 0, 0, 5, 3, 1, 7], "hlc": [921576, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [5, 12, 0, 2, 6, 4, 2, 3, 1, 6], "hlc": [921578, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [0, 0, 5, 0, 1, 0, 0, 0, 2, 0], "hlc": [921570, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [0, 9, 0, 4, 0, 2, 0, 3, 1, 0], "hlc": [921577, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [1, 3, 2, 1, 9, 0, 2, 6, 1, 3], "hlc": [921576, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [4, 5, 0, 1, 0, 0, 6, 3, 1, 0], "hlc": [921576, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [5, 1, 2, 0, 1, 0, 1, 9, 1, 5], "hlc": [921575, 9]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [5, 13, 2, 2, 6, 4, 2, 9, 1, 6], "hlc": [921578, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [4, 9, 0, 5, 0, 2, 6, 3, 1, 0], "hlc": [921577, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [7, 9, 4, 4, 6, 8, 2, 8, 2, 5], "hlc": [921577, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [4, 5, 5, 1, 1, 0, 7, 3, 2, 0], "hlc": [921576, 7]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [5, 12, 2, 2, 6, 4, 2, 10, 1, 6], "hlc": [921578, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [5, 12, 2, 2, 9, 4, 2, 11, 1, 6], "hlc": [921578, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [10, 7, 2, 2, 8, 1, 2, 6, 4, 3], "hlc": [921577, 6]}
